Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Revenue Excluding Capital,"57,247,000","99,841,000","96,899,000","149,603,000","201,844,000",0,0,0,0,0,0,0
Capital Gains,"454,494,000","137,591,000","228,757,000","85,493,000","258,629,000",0,0,0,0,0,0,0
Administrative Cost,"244,537,000","144,493,000","114,674,000","96,427,000","113,033,000",0,0,0,0,0,0,0
Financial Charges,"42,186,000","11,463,000","14,689,000","14,622,000","13,040,000",0,0,0,0,0,0,0
Other Income,"14,190,000","15,695,000","12,422,000","17,525,000","35,882,000","330,381,000","645,529,000","488,321,000","1,244,008,000","-10,889,000","6,597,000","6,136,000"
Other Expense,0,0,0,0,0,0,0,0,0,0,0,0
Change In Value of Investment,"230,301,000","-2,298,000","-419,717,000","-677,429,000","363,999,000","222,852,000","355,312,000","764,871,000","233,975,000",0,0,"-737,444,000"
EBT,"469,509,000","94,873,000","-211,002,000","-535,857,000","734,281,000","495,907,000","1,027,245,000","1,213,043,000","1,504,041,000","-159,254,000","110,272,000","-844,897,000"
Tax,"112,227,000","-3,069,000","7,084,000","2,044,000","23,048,000","160,872,000","128,458,000","36,226,000","74,819,000","24,768,000","5,124,000","10,221,000"
PAT,"357,282,000","97,942,000","-218,086,000","-537,901,000","711,233,000","335,035,000","898,787,000","1,176,049,000","1,428,207,000","-184,022,000","105,148,000","-855,118,000"
EPS,5.8,1.67,-3.72,-9.17,12.13,5.71,15.33,20.06,24.36,-5.06,2.77,-30.63
