Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Assets,-18.74,-11.80,-5.75,-9.25,-10.18,-9.86,-10.11,-12.17,-9.10,-9.97,-38.43
Book Value per Share,-32.30,-27.75,-24.65,-29.32,-27.21,-24.63,-22.60,-19.49,-15.36,-11.77,-9.11
Earning Per Share,-4.67,-3.23,-1.72,-2.12,-2.56,-2.75,-3.13,-4.14,-3.47,-4.18,-17.02
Net Working Capital to Total Asseets,-1.93,-1.64,-1.45,-1.87,-1.67,-1.46,-1.25,-1.12,-0.94,-0.80,-0.67
Current Ratio,0.09,0.11,0.13,0.14,0.15,0.18,0.21,0.23,0.26,0.30,0.36
Acid Test,0.06,0.07,0.08,0.09,0.10,0.12,0.15,0.16,0.18,0.20,0.21
Times Interest Earned,-0.99,-2.60,-27.97,-9.96,-12.63,-96.49,-11.96,-8.56,-104.53,-12.10,-2.10
Total Debt Ratio,2.30,2.01,1.82,2.28,2.08,1.88,1.73,1.57,1.40,1.28,1.21
Debt To Equity,-1.77,-1.99,-2.22,-1.78,-1.93,-2.13,-2.37,-2.75,-3.49,-4.56,-5.86
Return on Capital Employed,0.09,0.11,0.09,0.08,0.11,0.14,0.17,0.26,0.35,0.64,5.44
Average Collection Period,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5077.01,7557.94,7642.32,248.25
Days sales Inventory,344.58,359.74,572.28,558.21,531.93,517.13,561.56,408.54,484.95,482.76,112.78
Total Assets Turnover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.26
Gross Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-490.31,-737.07,-925.31,-96.81
Net Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-826.22,-931.65,-1112.51,-149.50
