Year,2020,2019,2018,2017,2016,2015,2014,2013
Payout,46.72,28.55,18.48,44.02,54.34,63.05,48.71,184.73
Plow Back,53.28,71.45,81.52,55.98,45.66,36.95,51.29,-84.73
Return on Equity,13.30,24.37,22.78,24.36,21.14,24.00,31.05,26.40
Return on Assets,8.15,12.35,10.87,11.23,8.90,9.19,10.62,7.66
Book Value per Share,48.29,43.12,35.62,30.30,26.11,22.78,20.10,17.06
Earning Per Share,6.42,10.51,8.11,7.38,5.52,5.55,6.24,4.50
Net Working Capital to Total Asseets,0.15,0.02,-0.06,-0.03,-0.03,-0.02,-0.01,-0.01
Current Ratio,1.43,1.04,0.87,0.92,0.92,0.94,0.98,0.94
Acid Test,1.34,0.98,0.79,0.82,0.80,0.80,0.82,0.75
Times Interest Earned,3.05,60.07,14.41,9.88,5.95,5.07,4.49,4.07
Total Debt Ratio,0.39,0.49,0.52,0.54,0.58,0.62,0.66,0.71
Debt To Equity,0.63,0.97,1.10,1.17,1.38,1.61,1.92,2.45
Return on Capital Employed,0.19,0.25,0.23,0.21,0.16,0.16,0.18,0.13
Average Collection Period,317.32,271.15,233.66,175.47,124.20,75.45,66.47,20.06
Days sales Inventory,48.98,32.90,36.86,36.23,33.41,27.70,30.09,38.20
Total Assets Turnover,0.32,0.48,0.49,0.54,0.57,0.68,0.63,0.46
Gross Profit Margin,21.47,27.46,25.35,23.40,19.58,18.46,22.44,19.06
Net Profit Margin,25.68,25.78,22.13,20.63,15.61,13.46,16.78,16.83
