Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,43.96,57.37,57.72,88.88,88.80,75.89,63.44,66.67,61.62,89.56,80.95
Plow Back,100.00,56.04,42.63,42.28,11.12,11.20,24.11,36.56,33.33,38.38,10.44,19.05
Return on Equity,8.24,10.23,12.20,11.96,8.19,7.50,10.65,16.46,16.62,16.35,17.32,26.68
Return on Assets,4.83,5.95,4.72,4.39,3.02,2.76,4.33,7.59,9.48,10.21,10.86,17.39
Book Value per Share,127.30,155.72,78.57,72.42,68.67,67.53,68.02,67.05,63.17,59.55,58.02,60.20
Earning Per Share,9.23,15.92,9.59,8.66,5.63,5.07,7.25,11.03,10.50,9.74,10.05,16.06
Net Working Capital to Total Asseets,0.01,-0.04,-0.05,0.00,0.02,-0.05,0.02,0.04,0.00,0.20,0.21,0.20
Current Ratio,1.03,0.89,0.89,1,1.08,0.86,1.06,1.17,1.00,1.81,1.91,2.01
Acid Test,0.69,0.64,0.73,0.80,0.78,0.61,0.74,0.79,0.68,1.31,1.44,1.30
Times Interest Earned,3.53,5.63,4.57,3.80,2.52,2.51,3.34,8.13,211.19,171.62,177.13,203.70
Total Debt Ratio,0.41,0.42,0.61,0.63,0.63,0.63,0.59,0.54,0.43,0.38,0.37,0.35
Debt To Equity,0.70,0.72,1.59,1.72,1.71,1.72,1.46,1.17,0.75,0.60,0.59,0.53
Return on Capital Employed,0.13,0.15,0.16,0.16,0.10,0.10,0.11,0.13,0.19,0.21,0.21,0.30
Average Collection Period,65.62,50.66,55.15,47.97,40.97,27.29,22.57,19.84,18.77,24.36,24.20,23.44
Days sales Inventory,82.15,55.23,40.81,53.33,48.31,44.44,38.09,42.65,35.82,56.48,58.47,74.45
Total Assets Turnover,0.66,0.73,0.87,0.80,0.84,0.85,0.96,1.03,1.10,1.06,1.00,1.06
Gross Profit Margin,22.84,22.83,22.48,22.66,21.18,18.10,19.03,25.52,25.26,27.14,30.81,34.06
Net Profit Margin,7.32,8.20,5.44,5.48,3.60,3.23,4.52,7.39,8.63,9.64,10.90,16.39
