Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Payout,24.00,40.76,41.24,35.71,40.45,25.51,24.05,34.88,23.95,30.15,38.25,6.82,32.98
Plow Back,76.00,59.24,58.76,64.29,59.55,74.49,75.95,65.13,76.05,69.85,61.75,93.18,67.02
Return on Equity,8.79,5.41,4.80,5.99,5.14,8.04,9.92,9.34,13.69,9.29,6.56,22.11,4.01
Return on Assets,5.83,3.99,3.59,4.62,3.87,5.68,7.25,6.23,8.96,6.31,4.02,14.54,3.06
Book Value per Share,189.46,215.34,252.45,233.66,216.56,195.08,167.57,107.40,100.67,89.24,79.72,165.80,188.78
Earning Per Share,16.66,11.65,12.12,14.00,11.13,15.68,16.63,10.04,13.78,10.50,6.81,36.86,7.58
Net Working Capital to Total Asseets,0.07,-0.18,0.05,0.06,0.05,0.07,0.11,0.08,0.06,0.03,-0.04,-0.08,0.14
Current Ratio,1.26,0.14,1.26,1.32,1.26,1.34,1.51,1.31,1.20,1.11,0.86,0.73,1.74
Acid Test,0.55,-0.52,0.64,0.75,0.65,0.68,0.83,0.60,0.50,0.47,0.38,0.34,1.28
Times Interest Earned,5.13,5.99,6.49,6.47,3.52,4.71,4.93,3.32,4.38,3.92,2.08,7.44,2.66
Total Debt Ratio,0.34,0.26,0.25,0.23,0.25,0.29,0.27,0.33,0.35,0.32,0.39,0.34,0.24
Debt To Equity,0.51,0.36,0.34,0.30,0.33,0.41,0.37,0.50,0.53,0.47,0.63,0.52,0.31
Return on Capital Employed,0.12,0.07,0.06,0.08,0.07,0.10,0.13,0.14,0.18,0.12,0.14,0.25,0.07
Average Collection Period,27.08,2.74,16.64,17.14,21.50,19.64,43.47,28.35,18.65,23.63,19.88,25.85,17.67
Days sales Inventory,131.45,105.74,123.39,97.98,94.46,110.24,102.91,102.55,96.83,96.40,87.03,101.73,89.85
Total Assets Turnover,0.63,0.52,0.41,0.45,0.51,0.56,0.65,0.79,0.90,0.68,0.76,0.49,0.43
Gross Profit Margin,12.06,10.33,10.92,13.05,11.77,14.44,17.25,15.11,16.16,18.96,18.23,14.35,16.56
Net Profit Margin,9.23,7.63,8.65,10.26,7.64,10.13,11.15,7.86,9.97,9.24,5.31,29.90,7.05
