Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,13.14,18.30,13.02,14.53,8.71,13.24,12.27,17.18,23.90,17.29
Plow Back,100.00,100.00,100.00,86.86,81.70,86.98,85.47,91.29,86.76,87.73,82.82,76.10,82.71
Return on Equity,-14.69,-13.34,0.50,17.47,11.87,14.48,14.85,20.89,16.99,17.29,17.16,12.05,10.67
Return on Assets,-6.68,-5.90,0.24,7.88,5.46,6.02,6.61,12.79,8.14,6.89,6.79,5.80,4.60
Book Value per Share,489.62,486.69,551.85,544.57,460.41,398.08,347.73,329.73,266.86,282.91,203.54,181.47,162.60
Earning Per Share,-71.94,-64.94,2.78,95.16,54.66,57.63,51.63,68.88,45.33,48.92,34.92,21.87,17.35
Net Working Capital to Total Asseets,0.25,0.26,0.30,0.29,0.28,0.24,0.25,0.35,0.23,0.15,0.14,0.16,0.19
Current Ratio,1.48,1.47,1.57,1.54,1.52,1.42,1.45,1.93,1.45,1.25,1.23,1.33,1.38
Acid Test,1.02,0.99,1.08,0.76,0.83,0.83,0.71,0.75,0.67,0.44,0.35,0.45,0.37
Times Interest Earned,-0.08,-0.59,2.37,17.33,4.74,3.43,7.26,20.68,4.19,4.34,4.84,3.21,3.92
Total Debt Ratio,0.55,0.56,0.52,0.55,0.54,0.58,0.55,0.39,0.52,0.60,0.60,0.52,0.57
Debt To Equity,1.20,1.26,1.07,1.22,1.18,1.41,1.25,0.63,1.09,1.51,1.53,1.08,1.32
Return on Capital Employed,-0.01,-0.04,0.08,0.27,0.23,0.28,0.25,0.33,0.34,0.34,0.32,0.26,0.19
Average Collection Period,132.03,136.91,93.37,65.93,77.73,37.10,18.98,9.38,13.35,15.02,11.98,10.54,20.55
Days sales Inventory,91.00,98.04,75.58,140.25,110.02,82.22,87.95,64.04,69.73,105.59,101.81,65.02,143.49
Total Assets Turnover,1.04,1.11,1.39,1.38,1.51,1.77,1.91,2.93,2.41,1.92,2.13,2.76,1.48
Gross Profit Margin,8.34,10.23,11.03,19.89,18.45,15.28,12.36,14.18,13.46,13.85,12.53,11.02,11.95
Net Profit Margin,-6.41,-5.31,0.18,5.73,3.60,3.41,3.46,4.36,3.38,3.58,3.19,2.10,3.10
