Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-49.10,-19.28,-24.98,0.00,-2393.89,-107.93,-27.15,-5.37,-3.44,-0.65,-6.09,-21.76,34.86
Return on Assets,-11.31,-6.28,-9.51,-32.62,-20.30,-20.96,-9.61,-2.04,-1.15,-0.21,-2.42,-8.93,13.83
Book Value per Share,20.32,30.30,36.11,-12.37,0.41,9.83,22.41,28.12,23.50,24.19,24.22,25.57,31.01
Earning Per Share,0.00,0.00,-9.02,-12.94,-9.70,-10.61,-6.08,-1.51,-0.81,-0.16,-1.47,-5.56,10.81
Net Working Capital to Total Asseets,-0.74,-0.60,-0.30,-0.64,-0.34,-0.17,-0.01,0.06,0.06,0.05,0.03,0.01,0.07
Current Ratio,0.01,0.08,0.16,0.22,0.46,0.63,0.98,1.13,1.12,1.11,1.07,1.03,1.18
Acid Test,0.01,0.07,0.15,0.15,0.20,0.28,0.53,0.51,0.44,0.49,0.57,0.62,0.84
Times Interest Earned,-4.85,-2.95,-8.68,-13.61,-9.42,-9.18,-8.58,-0.28,0.64,1.32,0.17,-2.11,3.62
Total Debt Ratio,0.77,0.67,0.62,1.31,0.99,0.81,0.65,0.62,0.67,0.68,0.60,0.59,0.60
Debt To Equity,3.34,2.07,1.63,-4.21,116.95,4.15,1.82,1.64,2.00,2.13,1.51,1.43,1.52
Return on Capital Employed,-0.39,-0.14,-0.14,-1.73,-0.50,-0.37,-0.14,-0.01,0.02,0.04,0.01,-0.09,0.14
Average Collection Period,0.00,14.77,0.00,34.33,65.80,83.82,175.12,149.32,80.10,63.95,71.67,84.33,82.19
Days sales Inventory,0.00,80.48,28.52,84.63,335.91,273.50,255.26,426.37,318.76,214.66,220.78,145.95,110.56
Total Assets Turnover,0.00,0.01,0.01,0.11,0.14,0.14,0.30,0.26,0.41,0.59,0.38,0.39,0.59
Gross Profit Margin,-638.34,-117.53,-290.45,-159.42,-31.12,-54.19,10.34,11.68,12.62,14.57,19.46,3.92,22.44
Net Profit Margin,-6009.17,-780.87,-778.93,-307.55,-149.55,-147.33,-31.94,-7.98,-2.79,-0.35,-6.32,-22.67,23.58
