Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,123.86,33.61,23.27,66.90,38.43,44.69,29.86,15.20,18.00
Plow Back,-23.86,66.39,76.73,33.10,61.57,55.31,70.14,84.80,82.00
Return on Equity,1.80,16.72,15.82,5.94,23.32,23.10,16.29,28.69,26.25
Return on Assets,0.90,5.80,6.04,2.30,12.00,8.99,7.88,11.99,7.70
Book Value per Share,55.96,59.60,81.46,69.25,72.54,58.12,51.58,54.72,49.62
Earning Per Share,1.01,9.97,12.89,4.11,16.91,13.43,8.40,15.70,10.76
Net Working Capital to Total Asseets,0.11,-0.00,0.06,0.00,0.10,0.06,0.07,0.06,0.00
Current Ratio,1.52,1.00,1.14,1.00,1.33,1.13,1.23,1.19,1.01
Acid Test,1.37,0.66,0.72,0.50,0.97,0.42,0.73,0.50,0.34
Times Interest Earned,1.48,2.33,3.02,2.01,7.77,4.73,2.55,3.31,4.04
Total Debt Ratio,0.50,0.65,0.62,0.61,0.49,0.61,0.52,0.58,0.71
Debt To Equity,0.99,1.88,1.62,1.58,0.94,1.57,1.07,1.39,2.41
Return on Capital Employed,0.12,0.25,0.17,0.12,0.24,0.27,0.22,0.28,0.26
Average Collection Period,1.03,5.44,9.95,11.58,0.54,3.52,2.41,0.63,6.43
Days sales Inventory,10.48,94.51,110.24,89.93,27.75,154.52,32.48,52.87,113.07
Total Assets Turnover,1.24,0.76,0.70,0.96,1.57,0.91,1.90,1.75,1.17
Gross Profit Margin,7.23,15.44,12.31,4.87,10.44,15.59,9.71,10.04,9.11
Net Profit Margin,0.73,7.60,8.62,2.39,7.62,9.86,4.14,6.86,6.57
