Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Payout,0.00,27.18,39.77,52.58,37.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,72.82,60.23,47.42,62.85,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.91,5.90,12.09,20.07,27.41,17.16,13.45,26.70,-8.81,-25.68,-15.00,-18.20
Return on Assets,0.51,3.17,6.61,10.57,14.92,8.08,5.59,8.14,-1.93,-7.95,-3.21,-4.95
Book Value per Share,36.24,31.18,31.21,28.43,24.55,18.69,15.76,9.83,6.85,17.25,10.64,12.23
Earning Per Share,0.33,1.84,3.77,5.71,6.73,3.21,2.12,2.62,-0.60,-4.43,-1.60,-4.34
Net Working Capital to Total Asseets,0.02,0.02,-0.06,0.00,-0.03,-0.14,-0.13,-0.15,-0.23,-0.31,-0.39,-0.06
Current Ratio,1.11,1.10,0.71,1,0.84,0.48,0.50,0.38,0.25,0.17,0.21,0.63
Acid Test,0.62,0.56,0.28,0.59,0.46,0.15,0.12,0.13,0.12,0.07,0.10,0.44
Times Interest Earned,0.07,3.27,5.15,10.88,14.94,5.14,3.22,2.38,0.81,-0.81,0.03,-2.66
Total Debt Ratio,0.43,0.46,0.45,0.47,0.46,0.53,0.58,0.70,0.78,0.69,0.79,0.73
Debt To Equity,0.76,0.86,0.83,0.90,0.84,1.12,1.41,2.28,3.57,2.23,3.67,2.67
Return on Capital Employed,0.00,0.11,0.12,0.19,0.26,0.22,0.18,0.19,0.09,-0.12,0.00,-0.05
Average Collection Period,24.82,20.15,17.71,16.55,12.49,9.13,10.76,11.07,9.51,5.83,15.38,0.00
Days sales Inventory,95.93,101.75,91.65,87.08,67.18,79.11,86.48,65.59,45.42,64.02,210.72,1650.29
Total Assets Turnover,0.34,0.49,0.50,0.52,0.58,0.60,0.56,0.48,0.40,0.16,0.11,0.00
Gross Profit Margin,0.99,23.25,23.62,34.34,39.65,30.92,27.50,27.27,19.88,-24.36,9.90,0.00
Net Profit Margin,1.51,6.49,13.14,20.35,25.60,13.37,9.93,16.86,-4.85,-48.61,-29.58,0.00
