Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,19.89,19.63,20.33,40.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,80.11,80.37,79.67,59.53,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,24.76,20.89,29.37,26.54,10.97,-12.24,-17.11,10.34,0.80,-11.88,-11.78,-3.65
Return on Assets,8.27,6.44,13.67,8.43,2.68,-2.68,-3.86,2.84,0.20,-2.97,-3.37,-1.03
Book Value per Share,25.38,19.51,18.42,11.64,9.00,7.99,8.95,10.45,9.34,9.25,10.41,12.22
Earning Per Share,6.28,4.07,6.21,3.09,0.99,-0.98,-1.53,1.08,0.07,-1.10,-1.29,-0.42
Net Working Capital to Total Asseets,0.13,0.01,0.14,0.01,-0.08,-0.28,-0.23,-0.13,-0.19,-0.19,-0.07,-0.07
Current Ratio,1.57,1.03,1.44,1.03,0.79,0.50,0.58,0.70,0.57,0.52,0.73,0.66
Acid Test,1.05,0.66,0.99,0.35,0.32,0.18,0.20,0.27,0.16,0.15,0.29,0.28
Times Interest Earned,4.75,3.82,11.64,4.79,2.27,0.68,-0.35,1.98,1.10,0.27,0.09,0.58
Total Debt Ratio,0.62,0.69,0.53,0.68,0.76,0.78,0.77,0.73,0.75,0.75,0.71,0.72
Debt To Equity,1.65,2.24,1.15,2.15,3.10,3.57,3.43,2.64,3.03,3.00,2.49,2.55
Return on Capital Employed,0.19,0.16,0.29,0.24,0.14,0.07,-0.03,0.19,0.13,0.03,0.01,0.02
Average Collection Period,6.06,4.53,4.45,6.65,7.29,7.16,8.50,7.79,4.78,4.62,14.77,10.61
Days sales Inventory,119.45,72.09,70.76,89.01,88.16,83.91,89.17,86.07,97.21,87.94,73.08,62.99
Total Assets Turnover,0.51,0.66,0.98,1.14,0.93,0.92,0.91,0.97,0.82,0.69,0.61,0.51
Gross Profit Margin,30.99,21.42,24.77,21.87,17.22,12.46,7.64,19.97,16.87,12.29,8.14,9.96
Net Profit Margin,16.17,9.79,13.94,7.39,2.87,-2.91,-4.27,2.92,0.24,-4.32,-5.56,-2.00
