Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,27.63,20.40,25.85,41.19,45.88,73.39,53.91,42.95,61.03,69.99,59.22,46.39,44.12
Plow Back,72.37,79.60,74.15,58.81,54.12,26.61,46.09,57.05,38.97,30.01,40.78,53.61,55.88
Return on Equity,13.25,19.88,22.37,19.91,13.97,2.49,12.96,23.03,17.14,16.02,19.89,27.63,34.10
Return on Assets,7.21,9.49,13.11,12.96,8.98,1.41,7.36,16.68,11.88,12.33,15.30,17.95,17.89
Book Value per Share,109.29,98.63,86.49,73.18,62.42,54.72,57.24,55.60,47.79,44.60,42.46,39.01,33.24
Earning Per Share,14.48,19.61,19.34,14.57,8.72,1.36,7.42,12.80,8.19,7.14,8.44,10.78,11.33
Net Working Capital to Total Asseets,0.40,0.33,0.42,0.48,0.45,0.36,0.36,0.52,0.50,0.53,0.51,0.41,0.31
Current Ratio,1.93,1.68,2.22,2.40,2.29,1.86,1.86,2.95,2.70,3.51,3.46,2.28,1.69
Acid Test,1.47,1.21,1.50,1.74,1.80,1.44,1.21,2.31,1.86,2.86,2.67,1.81,1.15
Times Interest Earned,3.37,6.13,36.74,25.74,9.02,2.00,11.46,324.86,206.54,23.38,17.25,8.41,12.10
Total Debt Ratio,0.46,0.52,0.41,0.35,0.36,0.43,0.43,0.28,0.31,0.23,0.23,0.35,0.48
Debt To Equity,0.84,1.09,0.71,0.54,0.55,0.76,0.76,0.38,0.44,0.30,0.30,0.54,0.91
Return on Capital Employed,0.25,0.31,0.30,0.30,0.24,0.11,0.22,0.31,0.27,0.25,0.32,0.45,0.52
Average Collection Period,158.17,132.16,96.09,123.58,122.42,108.14,90.61,67.07,69.36,120.21,123.69,144.83,129.73
Days sales Inventory,80.68,81.96,89.88,86.29,58.87,51.27,80.54,44.22,58.59,47.44,56.73,61.35,105.46
Total Assets Turnover,1.08,1.22,1.27,1.24,1.35,1.40,1.44,1.75,1.85,1.34,1.43,1.32,1.22
Gross Profit Margin,16.72,15.68,20.00,21.62,20.00,10.58,14.87,19.31,16.55,21.74,26.02,31.48,31.79
Net Profit Margin,6.68,7.80,10.36,10.48,6.64,1.01,5.12,9.51,6.43,9.20,10.66,13.56,14.62
