Year,2019,2018,2017,2016,2015,2014,2013,2012
Payout,0.00,305.86,72.34,69.49,53.24,45.30,0.00,0.00
Plow Back,100.00,-205.86,27.66,30.51,46.76,54.70,100.00,100.00
Return on Equity,0.00,1.66,13.65,19.91,19.59,20.65,27.12,20.66
Return on Assets,-29.58,0.28,2.41,2.72,4.26,4.10,4.19,4.84
Book Value per Share,-44.77,68.97,70.89,50.59,47.94,34.21,22.01,16.11
Earning Per Share,-129.94,1.14,10.70,10.07,9.39,7.84,5.97,3.33
Net Working Capital to Total Asseets,-0.50,-0.10,-0.03,-0.03,-0.08,-0.07,-0.10,-0.10
Current Ratio,0.53,0.87,0.96,0.96,0.89,0.91,0.88,0.85
Acid Test,0.32,0.47,0.54,0.49,0.47,0.62,0.39,0.65
Times Interest Earned,-2.35,1.49,5.56,5.98,4.42,4.27,4.85,3.88
Total Debt Ratio,1.10,0.83,0.82,0.86,0.78,0.80,0.85,0.77
Debt To Equity,-10.81,4.92,4.66,6.31,3.60,4.04,5.48,3.27
Return on Capital Employed,3.74,0.12,0.23,0.27,0.24,0.32,0.31,0.27
Average Collection Period,26.02,21.18,24.20,28.81,20.25,19.55,19.89,18.27
Days sales Inventory,44.76,36.82,40.59,63.31,41.77,15.30,28.25,9.01
Total Assets Turnover,1.77,3.16,2.99,2.23,2.89,5.44,5.33,5.76
Gross Profit Margin,-1.20,4.04,3.96,4.72,3.69,2.40,2.73,3.83
Net Profit Margin,-16.71,0.09,0.81,1.22,1.47,0.75,0.79,0.84
