Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.51
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,33.49
Return on Equity,-6.08,0.00,0.00,-52.40,-65.77,-51.74,-44.23,-12.82,-1.99,5.66,12.41
Return on Assets,-0.94,-7.24,-9.15,-4.82,-7.13,-8.67,-7.65,-3.70,-0.65,2.02,3.45
Book Value per Share,27.36,-12.46,-4.25,11.23,13.52,21.20,19.49,32.37,37.73,38.38,18.17
Earning Per Share,-1.66,-8.52,-11.43,-6.33,-9.34,-11.41,-9.17,-4.15,-0.75,2.17,2.26
Net Working Capital to Total Asseets,-0.56,-0.89,-0.76,-0.63,-0.52,-0.40,-0.29,-0.12,-0.17,-0.21,0.03
Current Ratio,0.14,0.11,0.12,0.13,0.15,0.17,0.31,0.44,0.28,0.28,1.21
Acid Test,0.08,0.06,0.05,0.06,0.06,0.07,0.17,0.15,0.09,0.18,0.60
Times Interest Earned,0.71,-0.41,-0.82,0.21,-0.65,-0.60,0.17,0.34,0.39,1.11,1.41
Total Debt Ratio,0.84,1.11,1.00,0.91,0.86,0.80,0.79,0.71,0.67,0.64,0.72
Debt To Equity,5.44,-10.45,-649.95,7.25,6.10,4.01,3.79,2.42,2.05,1.80,2.60
Return on Capital Employed,0.10,-4.79,-0.27,0.03,-0.08,-0.08,0.03,0.03,0.02,0.09,0.17
Average Collection Period,0.00,2.81,1.70,2.26,6.30,2.59,0.61,0.82,4.70,7.28,22.18
Days sales Inventory,98.99,177.01,188.93,124.68,230.11,227.24,138.34,240.03,303.68,53.55,104.93
Total Assets Turnover,0.18,0.10,0.08,0.17,0.07,0.06,0.20,0.13,0.08,0.27,0.49
Gross Profit Margin,12.58,-6.80,-34.64,15.19,-20.05,-38.94,21.19,25.94,32.51,26.50,33.66
Net Profit Margin,-5.36,-73.76,-121.31,-28.03,-98.52,-154.01,-39.20,-28.58,-7.99,7.42,7.08
