Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,48.79,36.06,49.81,50.44,50.35,49.97,43.41,0.00,56.91,64.53,100.01,54.31,48.44
Plow Back,51.21,63.94,50.19,49.56,49.65,50.03,56.59,100.00,43.09,35.47,-0.01,45.69,51.56
Return on Equity,14.59,12.00,16.92,19.47,18.65,15.99,14.33,6.56,8.79,12.05,15.71,14.19,13.89
Return on Assets,7.19,5.21,7.09,9.12,9.30,7.97,7.42,3.28,4.28,8.25,11.02,9.54,10.08
Book Value per Share,224.81,207.96,195.77,183.28,165.08,143.93,128.59,113.55,109.99,115.77,111.35,103.85,96.62
Earning Per Share,32.80,24.96,33.13,35.69,30.78,23.02,18.43,7.45,9.67,13.95,17.50,14.73,13.42
Net Working Capital to Total Asseets,0.09,0.05,0.06,0.00,0.05,0.01,0.12,0.11,0.05,0.29,0.29,0.25,0.19
Current Ratio,1.27,1.13,1.17,1.01,1.15,1.02,1.38,1.31,1.10,2.10,2.17,1.92,1.81
Acid Test,0.49,0.47,0.52,0.50,0.55,0.49,0.70,0.61,0.45,1.26,1.39,1.27,1.02
Times Interest Earned,3.66,3.18,6.69,12.04,10.13,7.71,6.12,6.49,5.66,22.22,23.77,19.34,13.83
Total Debt Ratio,0.51,0.57,0.58,0.53,0.50,0.50,0.48,0.50,0.51,0.32,0.30,0.33,0.27
Debt To Equity,1.03,1.30,1.39,1.14,1.01,1.01,0.93,1.00,1.05,0.46,0.43,0.49,0.38
Return on Capital Employed,0.20,0.17,0.15,0.21,0.19,0.19,0.15,0.09,0.14,0.18,0.24,0.21,0.22
Average Collection Period,15.59,14.94,19.37,22.48,16.20,13.93,8.19,17.25,6.00,5.63,8.24,11.80,10.59
Days sales Inventory,87.29,80.85,86.46,72.67,73.16,64.14,55.89,115.21,70.31,55.35,54.37,60.01,57.12
Total Assets Turnover,1.27,1.32,1.14,1.14,1.21,1.41,1.67,0.87,1.66,1.71,1.59,1.33,1.51
Gross Profit Margin,19.52,16.20,17.31,18.77,17.53,15.43,12.17,11.23,11.34,15.92,19.03,19.96,19.77
Net Profit Margin,5.65,3.95,6.23,7.97,7.69,5.67,4.45,3.75,2.57,4.83,6.91,7.19,6.70
