Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2009,2008,2007,2006,2005,2004,2003
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-39.19,4.76,2.83,5.56,20.71,23.30,-5.17,24.74,13.63,7.09,-6.79,-10.28,1.52,-21.57,-20.94,0.27
Return on Assets,-8.00,1.45,1.30,4.10,7.79,7.24,-1.28,6.58,2.96,2.06,-2.05,-3.20,0.46,-4.37,-5.78,0.09
Book Value per Share,8.68,11.49,10.63,22.95,6.42,5.09,3.91,4.09,3.08,9.39,8.73,9.17,10.15,9.99,12.30,14.88
Earning Per Share,-3.40,0.55,0.32,1.14,1.33,1.19,-0.20,1.01,0.42,0.67,-0.59,0.00,0.00,0.00,0.00,0.00
Net Working Capital to Total Asseets,-0.27,-0.08,0.06,0.33,-0.03,-0.04,-0.14,-0.14,-0.25,-0.02,0.02,-0.12,0.03,-0.07,-0.17,-0.17
Current Ratio,0.37,0.68,1.43,2.56,0.91,0.86,0.62,0.63,0.42,0.93,1.09,0.51,1.22,0.75,0.47,0.44
Acid Test,0.26,0.52,1.01,2.05,0.47,0.39,0.25,0.25,0.09,0.31,0.48,0.15,0.41,0.15,0.05,0.08
Times Interest Earned,-0.32,-1.33,3.87,3.28,3.70,2.71,0.63,2.13,1.73,0.88,-0.46,-9.09,-0.02,-1.23,2.25,1.15
Total Debt Ratio,0.80,0.69,0.54,0.26,0.62,0.69,0.75,0.73,0.78,0.71,0.70,0.69,0.70,0.80,0.72,0.67
Debt To Equity,3.90,2.27,1.17,0.36,1.66,2.22,3.05,2.76,3.61,2.45,2.31,2.22,2.29,3.93,2.62,2.05
Return on Capital Employed,-0.04,-0.01,0.02,0.09,0.24,0.23,0.07,0.23,0.24,0.07,-0.01,-0.05,-0.00,-0.03,0.04,0.03
Average Collection Period,36.99,36.56,38.34,26.99,23.93,24.75,14.93,14.39,5.48,5.14,93.54,31.83,19.90,10.21,1.47,2.32
Days sales Inventory,185.63,151.38,136.22,127.70,98.03,108.15,94.96,107.54,101.92,144.19,197.83,423.90,162.40,169.92,112.84,124.61
Total Assets Turnover,0.09,0.10,0.18,0.39,0.66,0.64,0.60,0.62,0.57,0.50,0.22,0.05,0.24,0.32,0.45,0.34
Gross Profit Margin,-2.35,4.08,15.54,21.88,22.85,25.35,9.86,20.57,10.13,23.48,9.91,-62.60,2.40,-6.55,7.59,4.81
Net Profit Margin,-87.52,15.09,7.37,10.42,11.74,11.32,-2.11,10.54,5.24,4.08,-9.31,-68.79,1.94,-13.87,-12.74,0.26
