Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,62.83,68.43,74.78,72.21,48.20,94.25,95.08,79.75,84.14,78.50,81.95
Plow Back,37.17,31.57,25.22,27.79,51.80,5.75,4.92,20.25,15.86,21.50,18.05
Return on Equity,18.84,21.13,22.14,19.53,20.22,14.12,9.36,11.51,10.27,9.79,9.83
Return on Assets,13.10,14.69,13.63,12.50,13.14,8.83,5.92,8.13,7.39,7.10,7.22
Book Value per Share,50.67,48.42,42.27,42.52,41.04,37.51,39.20,43.59,46.43,54.99,62.07
Earning Per Share,9.55,10.23,9.36,8.68,8.30,5.30,3.67,5.02,4.77,5.08,5.22
Net Working Capital to Total Asseets,0.28,0.00,0.19,0.22,0.24,0.27,0.29,0.32,0.37,0.41,0.42
Current Ratio,2.04,1,1.54,1.68,1.89,1.84,1.91,2.27,2.48,2.71,2.81
Acid Test,1.02,-0.08,0.71,0.83,0.99,0.79,0.78,1.00,0.99,1.46,1.41
Times Interest Earned,16.88,33.01,56.27,229.71,65.64,140.89,12.37,49.66,62.24,97.46,39.23
Total Debt Ratio,0.30,0.30,0.38,0.36,0.35,0.37,0.37,0.29,0.28,0.27,0.27
Debt To Equity,0.44,0.44,0.62,0.56,0.54,0.60,0.58,0.42,0.39,0.38,0.36
Return on Capital Employed,0.29,0.30,0.35,0.31,0.24,0.22,0.16,0.20,0.20,0.17,0.16
Average Collection Period,11.24,17.12,26.31,7.02,5.04,7.00,5.06,5.52,5.76,5.71,28.94
Days sales Inventory,79.35,88.63,95.46,104.40,102.10,114.93,123.44,112.28,132.00,115.84,136.66
Total Assets Turnover,1.58,1.53,1.50,1.30,1.18,1.46,1.41,1.43,1.41,1.27,1.16
Gross Profit Margin,21.08,24.74,26.48,27.08,26.97,26.34,24.67,26.27,26.75,25.66,25.30
Net Profit Margin,8.31,9.58,9.10,9.60,11.10,6.05,4.21,5.70,5.25,5.59,6.21
