Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Payout,68.44,80.30,77.98,83.14,85.31,90.00,95.57,96.99,94.63,75.42,79.98,98.12,103.99,101.25,106.44,101.62,102.81,81.57
Plow Back,31.56,19.70,22.02,16.86,14.70,10.00,4.43,3.01,5.37,24.58,20.02,1.88,-3.99,-1.25,-6.44,-1.62,-2.81,18.43
Return on Equity,48.95,48.11,43.25,36.49,41.76,61.39,70.79,80.05,79.86,97.49,71.39,67.44,53.11,42.11,35.78,39.37,32.57,27.29
Return on Assets,12.04,11.15,9.86,9.86,12.99,20.92,20.99,29.68,34.23,40.50,25.61,22.89,20.44,18.33,16.90,17.21,15.14,11.55
Book Value per Share,33.43,27.96,26.24,23.07,22.17,21.47,20.18,19.77,20.51,27.20,22.77,19.28,24.90,25.80,26.26,25.21,41.68,44.92
Earning Per Share,16.36,13.45,11.35,8.42,9.26,13.18,14.28,15.83,16.38,26.52,16.25,13.00,13.22,10.86,9.39,9.92,13.57,10.66
Net Working Capital to Total Asseets,0.17,-0.06,0.00,-0.03,-0.04,-0.06,-0.21,-0.12,0.07,0.03,-0.08,-0.08,-0.07,-0.02,-0.04,-0.04,0.03,0.01
Current Ratio,1.37,0.91,1,0.95,0.91,0.84,0.67,0.77,1.15,1.07,0.84,0.84,0.82,0.94,0.90,0.91,1.08,1.04
Acid Test,1.31,0.81,0.84,0.88,0.72,0.58,0.59,0.66,1.02,0.95,0.71,0.66,0.54,0.68,0.61,0.69,0.86,0.76
Times Interest Earned,16.79,10.59,14.25,7.37,8.23,17.61,31.91,39.90,32.04,43.21,16.01,14.82,15.44,12.22,14.50,23.13,17.36,10.47
Total Debt Ratio,0.75,0.77,0.77,0.73,0.69,0.66,0.70,0.63,0.57,0.58,0.64,0.66,0.62,0.56,0.53,0.56,0.54,0.58
Debt To Equity,3.07,3.31,3.39,2.70,2.22,1.93,2.37,1.70,1.33,1.41,1.79,1.95,1.60,1.30,1.12,1.29,1.15,1.36
Return on Capital Employed,0.34,0.56,0.50,0.37,0.40,0.54,0.83,0.90,0.94,1.15,0.77,0.68,0.53,0.48,0.45,0.48,0.37,0.29
Average Collection Period,8.55,46.44,12.67,14.97,21.57,7.63,3.69,3.43,17.74,0.57,2.91,2.59,5.92,22.12,11.72,9.45,24.44,32.56
Days sales Inventory,26.26,51.58,76.78,19.56,51.03,55.42,31.28,32.40,33.73,53.94,38.24,55.88,65.90,60.81,56.89,60.48,54.00,63.09
Total Assets Turnover,0.56,0.69,0.72,0.84,0.80,1.06,0.94,1.10,1.22,0.99,1.04,0.94,0.96,0.97,1.09,0.90,0.80,0.77
Gross Profit Margin,32.34,29.06,26.40,19.95,24.77,34.05,38.29,46.36,48.44,62.20,43.60,43.27,40.40,35.59,32.41,35.71,37.42,34.86
Net Profit Margin,21.32,16.18,13.63,11.81,16.17,19.76,22.37,27.03,28.04,40.73,24.58,24.40,21.33,18.86,15.48,19.22,19.04,14.95
