Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Sales,"97,654,753,000","105,783,413,000","105,964,471,000","90,714,114,000","72,876,687,000","84,831,024,000","81,240,187,000","74,480,611,000","74,322,612,000","55,221,168,000","44,874,359,000","36,163,174,000","30,592,806,000","28,429,005,000","29,950,873,000","25,481,121,000","21,027,030,000","21,034,629,000"
COGS,"66,071,461,000","75,046,062,000","77,985,886,000","72,620,911,000","54,827,041,000","55,949,370,000","50,136,749,000","39,948,572,000","38,324,361,000","20,871,759,000","25,310,406,000","20,515,044,000","18,234,692,000","18,311,525,000","20,242,194,000","16,382,714,000","13,157,653,000","13,701,319,000"
Gross Profit,"31,583,292,000","30,737,351,000","27,978,585,000","18,093,203,000","18,049,646,000","28,881,654,000","31,103,438,000","34,532,039,000","35,998,251,000","34,349,409,000","19,563,953,000","15,648,130,000","12,358,114,000","10,117,480,000","9,708,679,000","9,098,407,000","7,869,377,000","7,333,310,000"
Administrative Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selling & Distributive Expenses,"7,848,004,000","8,288,413,000","8,833,490,000","8,574,081,000","7,154,244,000","6,813,591,000","6,431,667,000","6,167,280,000","5,560,687,000","4,372,151,000","3,944,473,000","3,174,505,000","2,668,571,000","2,418,793,000","2,746,782,000","2,371,208,000","1,766,652,000","1,851,170,000"
Financial Charges,"1,873,508,000","2,477,110,000","1,636,976,000","2,470,672,000","2,405,589,000","1,474,801,000","848,940,000","756,215,000","999,457,000","785,825,000","1,086,741,000","944,947,000","695,371,000","696,407,000","517,362,000","325,999,000","372,949,000","520,838,000"
Other Income,"10,368,881,000","7,191,089,000","6,283,051,000","10,323,615,000","10,664,843,000","6,194,231,000","4,720,866,000","4,367,941,000","4,267,852,000","6,629,501,000","3,153,110,000","2,800,987,000","1,942,558,000","1,658,000,000","1,275,940,000","1,439,955,000","933,762,000","457,413,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"2,639,202,000","3,409,427,000","2,108,585,000","1,630,750,000","1,760,663,000","2,284,624,000","2,302,937,000","2,557,937,000","2,685,236,000","2,654,881,000","1,376,000,000","1,272,448,000","895,647,000","845,327,000","735,331,000","626,819,000","560,494,000","488,206,000"
EBITDA,"33,775,012,000","28,516,117,000","25,491,958,000","20,386,758,000","21,914,424,000","27,989,343,000","28,929,511,000","31,831,760,000","33,405,900,000","35,141,556,000","18,590,992,000","15,071,184,000","11,621,763,000","9,334,262,000","8,400,031,000","8,409,508,000","7,276,003,000","6,399,484,000"
EBIT,"31,464,967,000","26,230,600,000","23,319,561,000","18,211,987,000","19,799,582,000","25,977,670,000","27,089,700,000","30,174,763,000","32,020,180,000","33,951,878,000","17,396,590,000","14,002,164,000","10,736,454,000","8,511,360,000","7,502,506,000","7,540,335,000","6,475,993,000","5,451,347,000"
EBT,"29,591,459,000","23,753,490,000","21,682,585,000","15,741,315,000","17,393,993,000","24,502,869,000","26,240,760,000","29,418,548,000","31,020,723,000","33,166,053,000","16,309,849,000","13,057,217,000","10,041,083,000","7,814,953,000","6,985,144,000","7,214,336,000","6,103,044,000","4,930,509,000"
Tax,"8,772,000,000","6,643,000,000","7,244,000,000","5,030,000,000","5,612,000,000","7,737,000,000","8,070,000,000","9,284,000,000","10,181,000,000","10,674,000,000","5,281,000,000","4,234,111,000","3,516,000,000","2,454,000,000","2,349,000,000","2,317,000,000","2,099,000,000","1,786,000,000"
PAT,"20,819,459,000","17,110,490,000","14,438,585,000","10,711,315,000","11,781,993,000","16,765,869,000","18,170,760,000","20,134,548,000","20,839,723,000","22,492,053,000","11,028,849,000","8,823,106,000","6,525,083,000","5,360,953,000","4,636,144,000","4,897,336,000","4,004,044,000","3,144,509,000"
EPS,16.36,13.45,11.35,8.42,9.26,13.18,14.28,15.83,16.38,26.52,16.25,13,13.22,10.86,9.39,9.92,13.57,10.66
