Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,88.84,50.26,58.66,66.52,86.66,87.07,91.06,79.62,83.88,67.39,48.08,46.52,36.34
Plow Back,11.16,49.74,41.34,33.48,13.34,12.93,8.94,20.38,16.12,32.61,51.92,53.48,63.66
Return on Equity,5.47,20.93,30.71,32.52,26.74,24.24,31.35,27.82,33.27,36.87,38.91,43.52,47.72
Return on Assets,1.97,8.54,12.26,13.81,12.54,10.99,12.69,12.98,13.50,17.39,16.76,16.87,17.03
Book Value per Share,185.33,190.16,222.05,196.45,172.61,163.48,166.37,203.18,179.16,167.05,160.36,122.96,115.33
Earning Per Share,10.13,39.79,68.19,63.89,46.16,39.62,52.16,56.52,59.61,61.58,62.40,53.51,45.86
Net Working Capital to Total Asseets,0.15,0.22,0.25,0.29,0.34,0.35,0.34,0.39,0.34,0.39,0.35,0.30,0.26
Current Ratio,1.28,1.39,1.42,1.52,1.67,1.66,1.59,1.75,1.58,1.76,1.63,1.50,1.41
Acid Test,0.93,0.90,0.96,1.18,1.36,1.30,1.24,1.42,1.35,1.35,1.55,1.49,1.38
Times Interest Earned,1.94,7.74,15.69,24.73,29.11,35.39,45.20,4.36,5.66,9.81,16.15,0.00,0.00
Total Debt Ratio,0.64,0.59,0.60,0.58,0.53,0.55,0.60,0.53,0.59,0.53,0.57,0.61,0.64
Debt To Equity,1.78,1.45,1.50,1.35,1.13,1.21,1.47,1.14,1.47,1.12,1.32,1.58,1.80
Return on Capital Employed,0.13,0.33,0.46,0.47,0.39,0.33,0.42,0.50,0.54,0.56,0.54,0.58,0.62
Average Collection Period,25.36,27.55,33.91,28.43,25.62,20.56,25.35,20.63,36.66,31.02,33.52,46.23,39.94
Days sales Inventory,17.80,22.02,27.30,20.24,17.22,12.28,12.50,11.86,10.29,18.33,4.62,0.90,2.20
Total Assets Turnover,3.92,4.81,3.84,3.61,3.58,5.74,6.02,5.47,5.01,4.47,3.86,3.39,3.43
Gross Profit Margin,1.81,3.69,5.49,5.29,5.26,2.87,2.90,3.14,3.00,4.31,4.54,5.32,5.16
Net Profit Margin,0.50,1.78,3.19,3.82,3.50,1.91,2.11,2.37,2.70,3.89,4.34,4.98,4.96
