Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,5.59,30.21,75.86,84.33,87.33,78.60,74.02,89.77,100.04,87.67,86.48,100.09,60.22
Plow Back,94.41,69.79,24.14,15.67,12.67,21.40,25.98,10.23,-0.04,12.33,13.52,-0.09,39.78
Return on Equity,39.13,31.85,30.25,29.07,29.30,32.96,28.86,28.74,25.67,36.31,22.62,24.57,37.35
Return on Assets,17.55,9.41,7.67,8.14,9.84,10.18,8.11,11.83,6.11,6.85,6.56,9.46,13.98
Book Value per Share,68.56,46.76,39.87,36.92,35.17,33.77,30.43,29.07,26.87,20.42,25.55,26.22,24.23
Earning Per Share,26.83,14.90,12.06,10.73,10.31,11.13,8.78,8.35,6.90,7.41,5.78,6.44,9.05
Net Working Capital to Total Asseets,0.48,0.26,0.21,0.20,0.23,0.20,0.17,0.23,0.13,0.15,0.15,0.21,0.18
Current Ratio,1.99,1.38,1.29,1.29,1.36,1.30,1.25,1.47,1.20,1.22,1.25,1.43,1.38
Acid Test,1.89,1.24,1.18,1.17,1.23,1.17,1.12,1.20,1.08,1.12,1.14,1.25,1.21
Times Interest Earned,4.90,3.28,3.55,4.18,5.23,3.37,3.49,2.36,1.88,2.14,2.45,2.36,4.65
Total Debt Ratio,0.55,0.70,0.75,0.72,0.66,0.69,0.72,0.59,0.76,0.75,0.71,0.62,0.63
Debt To Equity,1.23,2.38,2.95,2.57,1.98,2.24,2.56,1.43,3.20,2.98,2.45,1.60,1.67
Return on Capital Employed,0.60,0.63,0.58,0.53,0.50,0.62,0.50,0.60,0.58,0.59,0.44,0.48,0.34
Average Collection Period,611.72,498.25,458.54,401.30,394.56,255.62,213.08,127.83,251.79,329.51,219.60,172.19,191.18
Days sales Inventory,47.80,66.83,50.97,54.91,53.89,33.91,29.06,36.14,32.58,38.66,26.17,31.88,37.15
Total Assets Turnover,0.53,0.61,0.66,0.71,0.70,1.05,1.19,1.57,1.01,0.78,1.11,1.16,0.98
Gross Profit Margin,30.02,16.75,14.56,17.32,20.89,14.93,10.78,13.88,11.20,14.39,11.55,15.85,16.71
Net Profit Margin,33.01,15.46,11.55,11.54,14.13,9.66,6.83,7.53,6.04,8.78,5.92,8.18,14.24
