Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,41.88,64.43,58.57,68.64,65.64,77.49,69.82,73.60,58.19,38.94,59.98,28.44
Plow Back,100.00,58.13,35.57,41.43,31.36,34.36,22.51,30.18,26.40,41.81,61.06,40.02,71.56
Return on Equity,-7.76,15.83,17.78,23.44,10.76,11.52,8.38,9.33,6.29,19.54,21.88,9.28,18.61
Return on Assets,-3.00,6.22,7.04,9.95,5.62,5.56,3.10,3.83,2.16,7.41,5.47,3.35,6.64
Book Value per Share,67.83,82.98,74.19,65.55,60.94,52.91,50.08,49.90,43.19,43.97,46.95,40.42,45.51
Earning Per Share,-5.26,13.13,13.19,15.37,6.56,6.09,4.19,4.66,2.72,8.59,10.27,3.75,7.06
Net Working Capital to Total Asseets,0.02,0.06,0.09,0.08,0.07,0.03,0.03,0.04,0.02,0.03,0.00,0.03,0.10
Current Ratio,1.04,1.11,1.19,1.16,1.18,1.07,1.05,1.08,1.04,1.05,1.00,1.07,1.19
Acid Test,0.34,0.27,0.37,0.26,0.40,0.47,0.34,0.38,0.24,0.46,0.28,0.58,0.32
Times Interest Earned,0.65,3.26,5.87,11.68,4.30,2.91,1.90,2.00,1.40,3.09,6.29,1.88,3.01
Total Debt Ratio,0.61,0.61,0.60,0.58,0.48,0.52,0.63,0.59,0.66,0.62,0.75,0.64,0.64
Debt To Equity,1.59,1.55,1.53,1.36,0.91,1.07,1.71,1.43,1.91,1.64,3.00,1.77,1.80
Return on Capital Employed,0.07,0.25,0.23,0.28,0.17,0.21,0.21,0.21,0.24,0.33,0.16,0.16,0.26
Average Collection Period,68.49,42.35,33.85,43.29,40.01,47.79,50.67,42.84,36.35,44.32,42.78,32.12,42.38
Days sales Inventory,178.82,174.60,154.05,217.74,123.75,87.62,174.47,129.04,182.83,126.53,202.62,77.23,166.56
Total Assets Turnover,0.82,1.02,1.11,0.90,1.06,1.35,1.01,1.22,1.12,1.14,0.72,1.10,1.14
Gross Profit Margin,7.23,10.10,13.22,17.00,16.60,10.63,12.86,11.64,11.36,11.43,16.50,9.47,14.81
Net Profit Margin,-3.66,6.12,6.33,11.03,5.30,4.13,3.08,3.15,1.94,6.50,7.62,3.04,5.84
