Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,87.54,89.14,88.83,105.21,119.01,80.98,80.97,89.67,76.30,128.08,48.31,58.24,52.64
Plow Back,12.46,10.86,11.17,-5.21,-19.01,19.02,19.03,10.33,23.70,-28.08,51.69,41.76,47.36
Return on Equity,25.96,33.66,31.97,32.31,31.93,23.71,25.21,39.22,24.64,15.63,28.69,26.19,26.95
Return on Assets,11.93,15.03,14.02,16.63,19.81,13.04,15.66,29.33,12.70,8.86,14.22,11.78,10.97
Book Value per Share,132.01,149.99,140.84,147.07,157.91,130.23,122.46,142.17,106.41,89.93,97.40,81.95,70.49
Earning Per Share,34.27,50.48,45.03,47.53,50.41,30.87,30.88,55.83,34.47,22.81,27.94,21.46,19.00
Net Working Capital to Total Asseets,0.33,0.30,0.28,0.36,0.45,0.27,0.47,0.62,0.36,0.41,0.38,0.32,0.30
Current Ratio,1.71,1.56,1.52,1.78,2.33,1.63,2.27,3.58,1.78,2.12,1.89,1.66,1.61
Acid Test,1.02,1.05,1.06,1.30,1.76,1.23,1.63,2.63,1.43,1.42,1.18,1.08,0.94
Times Interest Earned,4.50,4.16,5.52,17.54,19.08,11.91,171.60,7.49,7.08,5.23,5.99,3.74,2.50
Total Debt Ratio,0.54,0.55,0.56,0.49,0.38,0.45,0.38,0.25,0.48,0.43,0.50,0.55,0.59
Debt To Equity,1.18,1.24,1.28,0.94,0.61,0.82,0.61,0.34,0.94,0.76,1.02,1.22,1.46
Return on Capital Employed,0.38,0.53,0.47,0.45,0.43,0.33,0.30,0.27,0.34,0.24,0.38,0.44,0.51
Average Collection Period,67.67,82.38,95.36,94.39,88.60,92.53,107.85,90.74,104.00,87.90,63.19,84.34,82.96
Days sales Inventory,105.90,94.40,96.67,93.58,79.56,84.31,117.47,102.27,80.98,116.51,92.01,86.26,107.10
Total Assets Turnover,1.54,1.51,1.30,1.26,1.31,1.05,1.02,1.15,1.01,1.07,1.56,1.55,1.49
Gross Profit Margin,27.96,30.81,27.60,31.57,32.33,28.48,28.03,30.00,28.32,24.17,22.76,23.40,25.52
Net Profit Margin,7.78,9.93,10.75,13.24,15.15,12.43,15.33,25.43,12.55,8.29,9.10,7.61,7.34
