Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Payout,96.68,86.47,96.48,20.32,83.50,126.11,0.00,0.00,165.74,117.33,45.17,30.11,72.54,80.72
Plow Back,3.32,13.53,3.52,79.68,16.50,-26.11,100.00,100.00,-65.74,-17.33,54.83,69.89,27.46,19.28
Return on Equity,16.81,14.95,13.67,73.61,31.28,7.56,10.46,4.68,5.42,6.20,14.72,20.14,31.44,24.45
Return on Assets,15.19,13.74,12.86,67.96,27.56,6.60,8.25,3.63,4.26,5.40,4.22,7.42,16.43,12.21
Book Value per Share,147.70,162.48,159.19,160.45,69.33,62.65,58.21,52.10,66.74,82.55,90.25,98.93,48.23,43.06
Earning Per Share,24.83,24.28,21.76,118.11,21.71,4.81,6.09,2.44,3.62,5.11,14.08,16.81,15.16,10.53
Net Working Capital to Total Asseets,0.70,0.65,0.70,0.66,0.16,0.04,-0.09,-0.16,-0.13,-0.03,0.05,0.11,0.16,0.12
Current Ratio,0.00,9.07,12.73,9.57,2.36,1.34,0.55,0.30,0.38,0.79,1.68,2.01,1.79,1.54
Acid Test,0.00,9.07,12.73,9.57,2.36,1.34,0.55,0.30,0.38,0.79,1.46,1.09,0.87,1.18
Times Interest Earned,108.73,113.04,45.25,113.66,20.87,3.19,4.38,2.39,2.85,20.67,4.95,4.45,12.50,9.10
Total Debt Ratio,0.10,0.08,0.06,0.08,0.12,0.13,0.21,0.22,0.21,0.13,0.71,0.63,0.48,0.50
Debt To Equity,0.11,0.09,0.06,0.08,0.13,0.15,0.27,0.29,0.27,0.15,2.49,1.72,0.91,1.00
Return on Capital Employed,0.18,0.20,0.19,0.76,0.34,0.12,0.15,0.09,0.09,0.07,0.07,0.13,0.31,0.25
Average Collection Period,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.42,4.09,10.85,14.90
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.73,116.85,65.78,41.07
Total Assets Turnover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.41,1.30,0.97
Gross Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.97,26.57,21.41,25.55
Net Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,18.19,12.69,12.59
