Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,20.03,40.01,16.33,21.13,21.41,17.80,21.04,20.72,19.49,16.12,13.17
Plow Back,100.00,79.97,59.99,83.67,78.87,78.59,82.20,78.96,79.28,80.51,83.88,86.83
Return on Equity,-11.25,4.44,12.95,10.58,23.67,9.99,10.48,6.19,5.20,1.46,1.78,4.42
Return on Assets,-3.76,2.11,7.51,7.32,15.60,6.78,7.77,4.58,3.41,1.10,1.45,3.68
Book Value per Share,315.32,355.20,359.05,318.55,299.87,233.74,214.40,191.99,185.82,176.16,174.07,171.96
Earning Per Share,-35.49,15.77,46.49,33.69,70.99,23.35,22.47,11.88,9.65,2.57,3.10,7.59
Net Working Capital to Total Asseets,0.09,0.19,0.39,0.50,0.53,0.49,0.51,0.54,0.45,0.50,0.52,0.54
Current Ratio,1.14,1.35,1.92,2.62,2.55,2.53,2.98,3.08,2.32,3.01,3.74,4.44
Acid Test,0.40,0.44,0.79,1.21,1.51,0.88,1.23,1.16,0.70,1.16,1.66,1.50
Times Interest Earned,-1.37,6.75,83.53,47.10,282.62,99.22,41.88,136.11,77.51,32.29,35.05,19.56
Total Debt Ratio,0.67,0.52,0.42,0.31,0.34,0.32,0.26,0.26,0.34,0.25,0.19,0.17
Debt To Equity,1.99,1.10,0.72,0.44,0.52,0.47,0.35,0.35,0.52,0.33,0.23,0.20
Return on Capital Employed,-0.11,0.08,0.19,0.17,0.35,0.14,0.14,0.10,0.09,0.05,0.03,0.07
Average Collection Period,2.16,0.72,0.76,5.75,6.74,9.20,7.03,3.67,2.23,2.06,5.24,2.64
Days sales Inventory,120.36,95.59,95.29,86.54,65.86,111.08,82.38,69.16,93.22,77.24,98.44,73.10
Total Assets Turnover,1.50,1.95,2.00,2.02,2.26,1.89,2.14,2.74,2.26,2.22,1.49,2.34
Gross Profit Margin,1.70,5.88,9.48,9.60,13.59,7.80,6.35,4.01,3.55,2.35,2.17,1.48
Net Profit Margin,-2.51,1.08,3.76,3.62,6.91,3.58,3.62,1.67,1.51,0.49,0.97,1.57
