Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.46
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,121.47
Return on Equity,7.43,13.21,10.20,8.17,9.09,-34.19,-21.39,-11.02,-14.55,-3.97,-8.78,-20.37
Return on Assets,3.60,5.05,3.71,3.53,3.14,-6.39,-4.63,-2.74,-3.91,-1.09,-2.59,-7.18
Book Value per Share,6.06,4.12,3.58,3.29,2.93,1.21,1.62,1.91,2.13,2.43,3.05,10.47
Earning Per Share,0.45,0.54,0.36,0.27,0.24,-0.41,-0.35,-0.21,-0.31,-0.10,-0.27,-0.67
Net Working Capital to Total Asseets,0.22,0.21,0.18,0.20,0.14,-0.09,-0.05,0.04,0.07,-0.07,-0.03,-0.02
Current Ratio,1.44,1.34,1.29,1.36,1.23,0.86,0.92,1.07,1.13,0.89,0.95,0.96
Acid Test,0.71,0.88,0.72,0.81,0.72,0.50,0.60,0.65,0.71,0.53,0.55,0.59
Times Interest Earned,2.01,1.98,2.13,2.82,2.47,0.34,0.48,0.61,0.97,1.01,0.67,0.12
Total Debt Ratio,0.51,0.62,0.64,0.57,0.65,0.81,0.78,0.75,0.73,0.73,0.71,0.65
Debt To Equity,1.06,1.62,1.75,1.32,1.90,4.35,3.62,3.02,2.72,2.65,2.39,1.84
Return on Capital Employed,0.21,0.28,0.16,0.18,0.17,0.08,0.10,0.10,0.16,0.28,0.15,0.03
Average Collection Period,66.47,76.20,78.45,82.29,82.96,65.05,68.09,56.86,59.47,61.62,74.44,63.09
Days sales Inventory,117.68,72.71,112.03,97.55,118.61,71.38,55.93,59.07,54.26,68.91,95.62,56.95
Total Assets Turnover,1.27,1.60,1.29,1.27,1.05,1.40,1.48,1.57,1.62,1.47,1.16,1.48
Gross Profit Margin,11.24,10.31,9.21,11.14,13.27,8.40,8.49,9.01,8.56,12.21,13.06,7.87
Net Profit Margin,2.83,3.15,2.88,2.79,2.98,-4.56,-3.14,-1.75,-2.41,-0.74,-2.24,-4.86
