Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,-292.14,-24.84,-73.64,-13.57,-5.39,-0.18,9.74
Return on Assets,-39.03,-74.96,-49.30,-13.86,-21.74,-27.81,-62.18,-13.93,-48.93,-8.20,-3.64,-0.12,5.35
Book Value per Share,-4.72,-4.15,-2.68,-1.38,-0.95,-0.12,1.08,4.25,5.31,8.96,10.18,10.73,11.20
Earning Per Share,-0.62,-1.37,-1.28,-0.45,-0.83,-1.21,-3.16,-1.06,-4.53,-1.22,-0.55,-0.02,1.40
Net Working Capital to Total Asseets,-2.79,-2.23,-1.16,-0.77,-0.69,-0.51,-0.38,-0.18,-0.14,-0.01,0.08,0.08,0.05
Current Ratio,0.07,0.06,0.19,0.26,0.27,0.29,0.34,0.44,0.44,0.96,1.72,1.49,1.22
Acid Test,0.07,0.06,0.19,0.25,0.26,0.29,0.34,0.43,0.42,0.93,1.61,1.22,1.05
Times Interest Earned,-1.07,-3.65,-2.24,-2.60,-6.27,-10.37,-20.81,-7.92,-11.14,-1.73,-1.55,0.38,7.76
Total Debt Ratio,4.00,3.27,2.03,1.43,1.25,1.03,0.79,0.44,0.34,0.40,0.32,0.35,0.45
Debt To Equity,-1.33,-1.44,-1.97,-3.33,-5.03,-38.30,3.70,0.78,0.50,0.66,0.48,0.53,0.82
Return on Capital Employed,0.10,0.42,0.77,2.66,-2.92,-0.90,-0.96,-0.18,-0.59,-0.08,-0.04,0.01,0.09
Average Collection Period,106.26,84.42,102.20,124.89,116.29,124.24,134.31,148.46,137.26,129.70,143.54,136.92,171.34
Days sales Inventory,0.00,1.03,0.97,1.81,1.36,1.42,1.59,3.57,2.73,7.99,23.57,107.15,117.22
Total Assets Turnover,0.56,0.54,0.76,0.67,0.55,0.42,0.34,0.23,0.19,0.19,0.25,0.23,0.22
Gross Profit Margin,11.49,-9.33,11.06,12.41,-4.32,-24.59,-20.73,-10.62,-165.20,13.68,24.96,35.60,50.22
Net Profit Margin,-70.32,-138.01,-64.60,-20.75,-39.26,-66.49,-182.30,-60.67,-254.09,-43.08,-14.77,-0.51,23.82
