Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,21.63,20.10,30.29,58.34,29.38,12.22,0.00,18.00,8.95,12.48,25.73,15.46,18.82
Plow Back,78.37,79.90,69.71,41.66,70.63,87.78,100.00,82.00,91.05,87.52,74.28,84.54,81.17
Return on Equity,14.55,18.20,24.76,25.45,24.65,29.01,22.74,19.74,17.53,20.25,23.18,21.11,12.60
Return on Assets,9.67,11.34,16.85,19.06,18.16,17.61,12.01,10.31,7.88,10.38,12.37,11.06,6.16
Book Value per Share,79.42,68.34,66.67,67.36,69.06,56.44,54.02,56.30,63.75,59.33,50.32,45.95,42.18
Earning Per Share,11.56,12.44,16.51,17.14,17.33,16.37,12.28,11.11,11.18,12.01,11.66,9.70,5.31
Net Working Capital to Total Asseets,0.38,0.32,0.35,0.33,0.26,0.23,0.11,0.13,0.08,0.30,0.32,0.30,0.27
Current Ratio,2.22,1.87,2.11,2.44,2.18,1.75,1.32,1.45,1.25,1.64,1.74,1.75,1.77
Acid Test,1.89,1.61,1.71,2.11,1.72,1.33,0.96,1.07,0.90,1.27,1.39,1.45,1.48
Times Interest Earned,6.15,7.61,16.78,23.77,23.88,10.30,5.49,4.27,2.88,2.62,5.86,4.42,3.00
Total Debt Ratio,0.34,0.38,0.32,0.25,0.26,0.39,0.47,0.48,0.55,0.49,0.47,0.48,0.51
Debt To Equity,0.50,0.61,0.47,0.34,0.36,0.65,0.89,0.91,1.22,0.95,0.87,0.91,1.04
Return on Capital Employed,0.23,0.22,0.28,0.28,0.29,0.35,0.29,0.27,0.27,0.43,0.40,0.32,0.21
Average Collection Period,171.89,122.18,93.01,101.06,98.79,105.08,87.93,92.03,80.12,83.64,134.40,131.97,173.00
Days sales Inventory,115.85,83.30,98.83,58.44,73.34,87.35,81.80,74.33,73.02,95.90,78.83,65.03,67.83
Total Assets Turnover,0.65,0.62,0.71,0.78,0.83,0.95,0.97,1.01,1.03,1.20,1.27,1.16,0.91
Gross Profit Margin,49.93,33.85,34.37,38.86,38.99,43.95,40.80,45.50,43.14,44.50,44.88,42.73,41.23
Net Profit Margin,14.82,18.17,23.62,24.54,21.94,18.54,12.40,10.18,7.63,8.68,9.71,9.54,6.78
