Year,2020,2019,2018,2017
Payout,36.25,20.70,26.47,13.00
Plow Back,63.75,79.30,73.53,87.00
Return on Equity,2.25,9.18,7.47,8.56
Return on Assets,1.10,4.32,3.41,3.27
Book Value per Share,55.29,36.82,35.42,35.95
Earning Per Share,1.24,3.38,3.13,2.73
Net Working Capital to Total Asseets,0.17,0.23,0.26,0.19
Current Ratio,1.37,1.48,1.52,1.35
Acid Test,0.31,0.35,0.37,0.18
Times Interest Earned,1.68,2.67,2.41,2.61
Total Debt Ratio,0.51,0.53,0.54,0.62
Debt To Equity,1.04,1.12,1.19,1.62
Return on Capital Employed,0.08,0.15,0.13,0.15
Average Collection Period,43.14,43.69,35.84,32.22
Days sales Inventory,237.59,274.63,321.14,371.02
Total Assets Turnover,0.82,0.82,0.76,0.74
Gross Profit Margin,9.00,11.63,14.66,15.74
Net Profit Margin,1.35,5.26,4.49,4.38
