Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,34.80,27.69,44.68,69.77,0.00,62.38,65.44,68.73,72.87,0.00,0.00
Plow Back,65.20,72.31,55.32,30.23,100.00,37.62,34.56,31.27,27.13,100.00,100.00
Return on Equity,15.47,21.32,19.68,20.65,23.00,25.19,24.49,21.11,17.11,-0.81,-0.55
Return on Assets,7.78,12.07,10.65,8.84,9.76,11.14,10.12,8.04,5.39,-0.24,-0.17
Book Value per Share,37.15,29.65,25.59,22.56,19.16,17.50,15.60,13.79,12.03,10.13,9.86
Earning Per Share,5.75,6.32,5.04,4.66,4.41,4.41,3.82,2.86,2.06,-0.07,-0.08
Net Working Capital to Total Asseets,-0.04,0.02,0.02,0.01,-0.07,-0.01,-0.05,-0.05,-0.03,-0.04,-0.04
Current Ratio,0.88,1.09,1.10,1.03,0.75,0.97,0.76,0.68,0.76,0.61,0.48
Acid Test,0.50,0.68,0.65,0.68,0.30,0.51,0.33,0.21,0.46,0.21,0.23
Times Interest Earned,5.57,13.76,6.79,5.24,5.85,4.76,3.96,2.57,2.99,-12.53,-11.96
Total Debt Ratio,0.50,0.43,0.46,0.57,0.58,0.56,0.59,0.62,0.63,0.65,0.69
Debt To Equity,0.99,0.77,0.85,1.33,1.36,1.26,1.42,1.63,1.72,1.86,2.22
Return on Capital Employed,0.20,0.23,0.19,0.18,0.20,0.26,0.26,0.23,0.14,-0.00,-0.00
Average Collection Period,35.09,19.04,17.43,22.87,4.11,4.52,1.08,1.71,4.82,0.00,0.00
Days sales Inventory,149.14,188.97,180.83,259.42,340.56,168.04,174.41,170.96,240.13,0.00,0.00
Total Assets Turnover,0.48,0.42,0.38,0.31,0.31,0.44,0.42,0.39,0.19,0.00,0.00
Gross Profit Margin,37.22,57.61,54.07,53.27,57.59,59.34,59.06,58.49,67.77,0.00,0.00
Net Profit Margin,16.10,28.88,28.12,28.97,31.12,25.60,23.95,20.70,27.75,0.00,0.00
