Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,6.57,21.20,-23.78,25.91,54.49,15.81,16.26,7.10,23.10,50.16,44.22,0.00
Plow Back,100.00,93.43,78.80,123.78,74.09,45.51,84.19,83.74,92.90,76.90,49.84,55.78,100.00
Return on Equity,-8.06,16.40,21.71,-11.54,25.35,20.04,12.13,20.08,32.10,33.45,20.83,19.16,21.45
Return on Assets,-3.75,6.75,7.66,-3.57,12.38,6.74,5.51,9.21,12.56,7.42,6.15,5.60,5.31
Book Value per Share,84.95,92.78,81.48,63.79,76.15,61.80,52.15,48.73,43.85,32.36,23.93,20.65,16.74
Earning Per Share,-6.85,15.21,17.69,-7.36,19.30,12.39,6.33,9.78,14.08,10.82,4.98,3.97,3.59
Net Working Capital to Total Asseets,-0.09,-0.03,-0.03,-0.08,0.07,0.03,0.05,-0.00,-0.00,0.03,0.07,0.08,0.07
Current Ratio,0.80,0.93,0.94,0.86,1.19,1.06,1.13,0.99,1.00,1.04,1.15,1.17,1.14
Acid Test,0.55,0.49,0.49,0.18,0.63,0.22,0.35,0.31,0.39,0.25,0.65,0.41,0.39
Times Interest Earned,0.50,2.68,5.00,-0.27,16.98,3.83,3.58,4.19,8.08,4.13,4.03,3.38,6.10
Total Debt Ratio,0.53,0.59,0.65,0.69,0.51,0.66,0.55,0.54,0.61,0.78,0.70,0.71,0.75
Debt To Equity,1.15,1.43,1.83,2.23,1.05,1.97,1.20,1.18,1.56,3.51,2.39,2.42,3.04
Return on Capital Employed,0.06,0.28,0.28,-0.02,0.25,0.19,0.17,0.24,0.29,0.37,0.23,0.20,0.17
Average Collection Period,11.64,10.12,11.05,6.75,0.20,3.29,0.20,0.27,10.63,0.51,11.08,13.41,16.06
Days sales Inventory,31.19,97.08,87.08,167.11,46.76,295.65,75.14,63.99,58.02,169.96,41.53,87.91,142.83
Total Assets Turnover,1.26,0.82,1.09,0.86,1.66,0.64,1.59,1.65,1.69,1.22,2.27,1.58,1.03
Gross Profit Margin,4.67,6.13,8.71,-2.19,9.87,11.00,6.70,8.73,7.64,10.70,6.11,7.91,9.61
Net Profit Margin,-2.98,8.24,7.03,-4.15,7.44,10.54,3.47,5.59,7.43,6.08,2.70,3.56,5.17
