Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,86.67,84.12,88.31,97.76,114.45,111.86,96.36,98.30,104.77,76.55,81.11,75.78,36.60
Plow Back,13.33,15.88,11.69,2.24,-14.45,-11.86,3.64,1.70,-4.77,23.45,18.89,24.21,63.40
Return on Equity,40.67,44.32,34.74,30.73,23.99,26.14,36.62,32.87,33.60,32.36,25.53,21.66,33.96
Return on Assets,17.88,20.70,16.22,16.79,12.98,15.26,22.27,20.19,22.65,22.99,18.91,16.18,26.22
Book Value per Share,141.86,134.12,138.53,133.16,127.48,136.82,148.79,139.29,149.11,141.30,123.13,109.64,128.70
Earning Per Share,57.69,59.44,48.13,40.92,30.58,35.76,54.48,45.78,50.11,45.72,31.44,23.75,36.43
Net Working Capital to Total Asseets,0.00,0.33,0.21,0.22,0.20,0.21,0.22,0.16,0.25,0.26,0.23,0.20,0.29
Current Ratio,1,2.05,1.72,2.22,2.22,2.37,2.53,2.09,3.19,3.27,3.68,3.54,4.22
Acid Test,0.84,1.88,1.53,1.82,1.71,1.85,2.06,1.63,2.68,2.76,2.87,2.50,3.41
Times Interest Earned,10.83,7.59,8.48,17.63,9.69,12.64,27.31,18.52,26.38,67.76,34.80,15.02,30.36
Total Debt Ratio,0.56,0.53,0.53,0.45,0.46,0.42,0.39,0.39,0.33,0.29,0.26,0.25,0.23
Debt To Equity,1.27,1.14,1.14,0.83,0.85,0.71,0.64,0.63,0.48,0.41,0.35,0.34,0.30
Return on Capital Employed,0.39,0.51,0.33,0.28,0.21,0.27,0.36,0.34,0.39,0.36,0.27,0.24,0.39
Average Collection Period,72.95,73.94,92.10,44.06,49.00,41.10,52.31,61.57,38.34,63.54,52.85,47.46,39.25
Days sales Inventory,103.72,74.63,76.17,102.44,123.73,110.50,86.72,106.35,100.91,108.01,143.13,182.87,139.70
Total Assets Turnover,0.42,0.54,0.47,0.47,0.45,0.56,0.61,0.54,0.55,0.53,0.45,0.40,0.51
Gross Profit Margin,54.88,53.12,43.30,46.20,45.25,52.68,53.49,56.31,61.16,62.63,61.01,59.03,63.22
Net Profit Margin,42.87,38.37,34.85,35.48,29.11,27.39,36.26,37.50,41.41,43.35,41.67,40.00,51.47
