Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,-96.65,47.76,69.18,49.09,52.02,44.53,46.72,51.19,36.92,32.80,32.87,21.07,8.66
Plow Back,196.65,52.24,30.82,50.91,47.98,55.47,53.28,48.81,63.08,67.19,67.13,78.93,91.34
Return on Equity,-0.76,14.56,13.44,15.93,14.47,15.39,10.97,11.63,22.79,20.41,21.69,18.96,22.40
Return on Assets,-0.64,12.92,11.96,14.09,12.88,13.68,9.94,10.27,20.04,17.94,18.34,16.35,18.84
Book Value per Share,135.81,143.85,134.41,127.84,116.22,109.40,97.56,92.35,89.15,74.67,63.10,50.08,51.55
Earning Per Share,-1.03,20.94,18.07,20.37,16.82,16.84,10.70,10.74,20.31,15.24,13.69,9.49,9.62
Net Working Capital to Total Asseets,0.37,0.47,0.47,0.46,0.40,0.44,0.41,0.50,0.72,0.73,0.70,0.55,0.53
Current Ratio,3.30,5.24,5.46,5.21,5.09,5.58,6.48,6.02,8.00,7.42,5.95,5.69,4.63
Acid Test,1.34,2.94,3.19,3.42,2.82,3.37,4.32,3.68,5.48,5.01,3.71,3.19,3.12
Times Interest Earned,4.48,2565.94,2316.08,2252.01,1305.08,425.18,4535.44,3486.19,1914.47,804.56,631.43,85.64,219.29
Total Debt Ratio,0.16,0.11,0.11,0.12,0.11,0.11,0.09,0.12,0.12,0.12,0.15,0.14,0.16
Debt To Equity,0.20,0.13,0.12,0.13,0.12,0.13,0.10,0.13,0.14,0.14,0.18,0.16,0.19
Return on Capital Employed,0.00,0.19,0.20,0.22,0.21,0.23,0.14,0.16,0.32,0.31,0.37,0.28,0.34
Average Collection Period,31.15,34.30,25.79,27.77,25.56,37.95,28.45,49.26,26.89,32.58,28.89,35.85,32.47
Days sales Inventory,151.33,72.07,76.51,63.93,65.19,69.66,68.62,87.36,82.50,76.79,83.81,92.79,72.21
Total Assets Turnover,0.80,1.53,1.41,1.36,1.53,1.39,1.02,1.16,1.47,1.63,1.82,1.44,1.45
Gross Profit Margin,4.51,15.14,18.25,18.49,17.96,20.08,16.18,16.40,21.59,20.33,24.48,20.10,23.92
Net Profit Margin,-0.79,8.47,8.51,10.37,8.41,9.85,9.76,8.83,13.65,11.03,10.09,11.33,12.95
