Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,0.00,0.00,105.17,76.53,29.76,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,-5.17,23.47,70.24,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.77,2.28,6.87,9.42,9.89,8.95,3.55,0.70,-18.09,2.28
Return on Assets,0.42,1.19,3.76,5.55,5.07,4.00,1.38,0.20,-5.36,0.74
Book Value per Share,42.40,42.70,40.76,41.61,42.48,34.46,38.41,58.77,57.53,67.93
Earning Per Share,0.27,0.98,2.71,3.95,4.09,3.56,2.30,0.06,-10.95,1.24
Net Working Capital to Total Asseets,0.10,0.13,0.23,0.29,0.28,0.28,0.13,0.04,-0.02,0.10
Current Ratio,1.29,1.36,1.84,2.34,2.20,2.21,1.46,1.10,0.96,1.28
Acid Test,0.71,0.78,1.15,1.24,1.38,1.27,0.94,0.71,0.52,0.64
Times Interest Earned,1.14,1.51,2.64,3.09,2.70,2.05,1.42,1.05,-0.36,1.16
Total Debt Ratio,0.46,0.48,0.44,0.40,0.47,0.54,0.60,0.69,0.68,0.66
Debt To Equity,0.86,0.91,0.79,0.66,0.90,1.17,1.47,2.27,2.17,1.92
Return on Capital Employed,0.06,0.05,0.09,0.10,0.12,0.10,0.08,0.08,-0.04,0.11
Average Collection Period,40.67,75.73,76.51,68.39,101.37,138.27,139.78,128.25,122.59,81.75
Days sales Inventory,165.75,162.66,117.35,185.19,142.12,189.64,128.47,98.16,149.18,152.20
Total Assets Turnover,0.52,0.53,0.71,0.58,0.61,0.52,0.51,0.64,0.47,0.69
Gross Profit Margin,14.89,11.73,15.19,18.24,19.78,20.10,14.88,11.04,7.55,21.16
Net Profit Margin,0.80,2.25,5.32,9.51,8.32,7.72,2.70,0.32,-11.29,1.08
