Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,93.73,97.42,99.11,162.69,98.35,97.23,96.62,54.13,63.14,82.70,90.54,121.19
Plow Back,6.27,2.58,0.89,-62.69,1.65,2.77,3.38,45.87,36.86,17.30,9.46,-21.19
Return on Equity,225.88,295.09,315.94,134.44,69.32,62.79,49.47,50.73,61.33,73.68,67.88,35.38
Return on Assets,11.27,17.32,25.09,23.33,17.78,15.33,11.22,11.53,13.27,17.92,16.17,9.31
Book Value per Share,71.80,86.27,102.19,194.31,278.67,278.45,261.51,254.91,167.86,123.09,97.62,96.78
Earning Per Share,162.17,254.57,322.86,261.23,193.18,174.85,129.37,129.32,102.94,90.69,66.27,34.24
Net Working Capital to Total Asseets,-0.34,-0.25,-0.26,-0.27,-0.14,-0.18,-0.00,-0.06,-0.10,-0.06,-0.07,0.02
Current Ratio,0.59,0.66,0.62,0.59,0.72,0.66,1.00,0.85,0.80,0.85,0.85,1.07
Acid Test,0.19,0.22,0.20,0.21,0.29,0.27,0.49,0.42,0.30,0.28,0.26,0.45
Times Interest Earned,4.36,10.29,20.16,18.75,8.26,6.11,4.84,5.36,7.19,12.10,10.47,5.00
Total Debt Ratio,0.95,0.94,0.92,0.83,0.74,0.76,0.77,0.77,0.78,0.76,0.76,0.74
Debt To Equity,19.05,16.03,11.59,4.76,2.90,3.10,3.41,3.40,3.62,3.11,3.20,2.80
Return on Capital Employed,1.15,1.07,1.22,1.01,0.59,0.55,0.30,0.32,0.41,0.47,0.44,0.24
Average Collection Period,6.81,9.13,2.33,1.83,1.12,1.03,1.47,0.21,1.56,0.90,2.14,4.88
Days sales Inventory,93.90,94.99,80.71,62.91,56.92,57.93,54.10,54.01,63.31,54.86,59.43,47.64
Total Assets Turnover,1.78,1.87,2.09,2.21,2.09,1.86,1.65,1.55,1.84,2.24,2.21,2.05
Gross Profit Margin,28.76,33.20,36.62,35.40,33.14,28.33,28.02,27.21,25.80,26.95,28.91,26.19
Net Profit Margin,6.34,9.26,11.98,10.54,8.51,8.22,6.80,7.42,7.20,7.99,7.30,4.54
