Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,153.64,81.26,110.63,127.97,110.63,103.08,230.34,70.00,67.30,61.64,84.26,51.77
Plow Back,100.00,-53.64,18.74,-10.63,-27.97,-10.63,-3.08,-130.34,30.00,32.70,38.36,15.74,48.23
Return on Equity,15.85,9.39,12.15,13.28,11.41,13.30,16.44,11.75,11.28,8.67,9.75,13.50,9.98
Return on Assets,8.38,4.79,6.33,8.14,7.91,9.40,10.50,10.85,8.17,6.89,9.17,13.08,8.90
Book Value per Share,38.61,34.64,35.44,35.74,35.95,37.39,38.36,43.43,44.33,42.83,41.61,39.56,38.72
Earning Per Share,6.12,3.25,4.31,4.75,4.10,4.97,6.31,5.10,5.00,3.71,4.06,5.34,3.86
Net Working Capital to Total Asseets,0.27,0.20,0.22,0.24,0.25,0.25,0.23,0.43,0.33,0.34,0.39,0.34,0.27
Current Ratio,1.57,1.41,1.45,1.62,1.81,1.86,1.68,6.91,2.21,2.65,7.65,12.23,3.50
Acid Test,1.51,1.32,1.33,1.47,1.61,1.61,1.48,5.65,1.99,2.34,6.37,8.97,2.91
Times Interest Earned,2.25,2.09,3.72,5.52,5.95,4.21,5.07,3.80,4.28,9.04,128.56,20.21,8.82
Total Debt Ratio,0.47,0.49,0.48,0.39,0.31,0.29,0.36,0.08,0.28,0.21,0.06,0.03,0.11
Debt To Equity,0.89,0.96,0.92,0.63,0.44,0.41,0.57,0.08,0.38,0.26,0.06,0.03,0.12
Return on Capital Employed,0.29,0.18,0.17,0.16,0.14,0.17,0.20,0.16,0.15,0.10,0.10,0.14,0.11
Average Collection Period,388.54,347.99,292.84,217.92,180.77,111.17,112.21,63.79,155.93,130.44,74.26,42.19,95.84
Days sales Inventory,23.86,31.08,35.74,30.23,31.87,22.68,18.57,24.27,20.55,21.25,23.63,34.15,26.58
Total Assets Turnover,0.61,0.65,0.72,0.83,0.83,1.30,1.47,1.55,1.17,1.19,1.26,1.20,1.00
Gross Profit Margin,28.57,20.77,15.24,15.02,15.22,11.73,10.56,11.24,10.72,8.18,8.85,13.13,12.94
Net Profit Margin,13.73,7.35,8.81,9.78,9.54,7.22,7.14,7.00,6.99,5.77,7.26,10.86,8.86
