Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,-35.34,74.61,15.20,11.61,-226.24,22.19,24.66,20.02,-40.13,21.57,27.84,37.49
Plow Back,135.34,25.39,84.80,88.39,326.24,77.81,75.34,79.98,140.13,78.44,72.16,62.51
Return on Equity,-7.76,2.97,10.57,20.37,-1.28,9.55,9.56,8.53,-2.28,8.11,9.97,15.50
Return on Assets,-1.61,0.68,2.95,5.24,-0.28,2.20,2.27,2.00,-0.54,2.07,3.84,6.29
Book Value per Share,81.99,90.25,93.37,84.59,68.98,70.78,63.63,58.53,54.56,57.16,54.02,51.61
Earning Per Share,0.00,2.68,9.87,17.23,-0.88,6.76,6.08,4.99,-1.25,4.64,5.39,8.00
Net Working Capital to Total Asseets,-0.48,-0.44,-0.43,-0.43,-0.46,-0.33,-0.41,-0.42,-0.42,-0.39,-0.45,-0.10
Current Ratio,0.28,0.29,0.35,0.35,0.31,0.46,0.34,0.27,0.23,0.22,0.25,0.83
Acid Test,0.28,0.29,0.35,0.35,0.31,0.46,0.34,0.27,0.23,0.22,0.25,0.82
Times Interest Earned,0.33,2.26,6.97,9.72,1.06,2.43,2.87,2.51,0.77,4.44,60.44,36.06
Total Debt Ratio,0.79,0.77,0.72,0.74,0.78,0.77,0.76,0.77,0.76,0.75,0.61,0.59
Debt To Equity,3.83,3.35,2.58,2.88,3.56,3.34,3.22,3.27,3.23,2.92,1.60,1.46
Return on Capital Employed,0.02,0.05,0.12,0.22,0.04,0.10,0.12,0.13,0.06,0.08,0.16,0.25
Average Collection Period,254.12,49.49,27.60,23.64,28.62,74.74,83.14,47.21,24.93,32.20,33.94,38.60
Days sales Inventory,2.18,1.58,1.46,0.83,0.93,0.65,0.59,8.66,3.32,3.85,6.15,4.27
Total Assets Turnover,0.04,0.06,0.10,0.17,0.14,0.22,0.25,0.18,0.09,0.10,0.11,0.21
Gross Profit Margin,10.26,16.39,29.58,38.77,20.17,17.38,19.21,29.09,33.56,36.91,34.96,44.67
Net Profit Margin,-43.05,10.96,28.58,30.05,-2.01,10.04,9.20,11.06,-5.92,19.86,34.24,30.26
