Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,27.53,20.29,22.26,40.49,44.29,41.65,18.65,15.15,0.00,0.00,0.00,0.00,0.00
Plow Back,72.47,79.71,77.74,59.51,55.71,58.35,81.35,84.85,100.00,100.00,100.00,100.00,100.00
Return on Equity,3.62,6.38,6.72,14.16,13.56,9.20,12.96,9.25,-1.77,-11.52,-17.35,3.75,-94.16
Return on Assets,1.63,2.32,2.39,4.82,4.99,3.08,3.02,1.98,-0.35,-2.19,-3.89,0.84,-10.86
Book Value per Share,100.44,77.24,83.56,78.50,74.90,65.23,41.35,35.68,32.38,33.02,36.83,88.35,39.28
Earning Per Share,3.63,4.93,5.61,11.11,10.16,6.00,5.36,3.30,-0.57,-3.81,-8.91,3.31,-43.62
Net Working Capital to Total Asseets,0.12,0.10,0.07,0.07,0.07,0.03,0.04,-0.03,-0.05,-0.03,-0.07,-0.14,-0.13
Current Ratio,1.24,1.18,1.11,1.13,1.12,1.05,1.05,0.96,0.94,0.96,0.91,0.82,0.85
Acid Test,0.74,0.81,0.71,0.71,0.79,0.73,0.69,0.57,0.49,0.48,0.48,0.40,0.47
Times Interest Earned,1.60,1.68,2.67,4.55,4.61,2.12,1.90,1.62,0.97,0.68,0.49,1.19,-2.08
Total Debt Ratio,0.55,0.64,0.64,0.66,0.63,0.67,0.77,0.79,0.80,0.81,0.78,0.78,0.88
Debt To Equity,1.22,1.75,1.81,1.93,1.72,1.99,3.30,3.68,4.10,4.25,3.46,3.47,7.67
Return on Capital Employed,0.13,0.15,0.14,0.20,0.28,0.24,0.33,0.35,0.26,0.18,0.18,0.39,-0.66
Average Collection Period,90.84,104.14,77.97,89.03,87.86,92.80,87.86,72.47,62.54,67.04,65.13,56.29,66.54
Days sales Inventory,121.56,85.17,90.77,104.01,77.49,84.06,87.42,99.49,112.03,143.04,138.03,136.80,127.37
Total Assets Turnover,0.92,1.18,1.28,1.22,1.37,1.21,1.39,1.37,1.35,1.13,1.13,1.11,1.12
Gross Profit Margin,20.98,21.80,23.92,29.09,30.45,26.86,24.20,22.28,19.70,20.82,23.27,23.31,19.32
Net Profit Margin,1.78,1.97,1.87,3.95,3.64,2.54,2.17,1.44,-0.26,-1.94,-3.46,0.76,-9.69
