Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Sales,"9,459,196,000","8,004,395,000","1,960,607,000",0,0,0,0,0,0
COGS,"6,409,714,000","5,747,427,000","2,777,388,000",0,0,0,0,0,0
Gross Profit,"3,049,482,000","2,256,968,000","-816,781,000",0,0,0,0,0,0
Administrative Expenses,"489,494,000","414,818,000","315,486,000","80,521,000","55,924,000","50,519,000","33,724,000","39,004,541","20,397,147"
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0
Financial Charges,"1,125,920,000","1,823,296,000","1,264,601,000",0,0,0,0,0,0
Other Income,"371,081,000","236,452,000","49,734,000","128,921,000","112,307,000","181,040,000","6,068,000","8,142,458","10,237,422"
Change In Value of Investment,0,0,0,0,0,0,0,0,0
Other Expenses,"159,486,000","2,748,637,000","866,401,000",0,0,"3,620,000","113,000","156,401","204,748"
EBITDA,"4,024,132,000","562,451,000","-735,210,000","50,964,000","58,121,000","128,283,000","-26,626,000","-30,001,662","-9,870,439"
EBIT,"2,771,583,000","-670,035,000","-1,948,934,000","48,400,000","56,383,000","126,901,000","-27,769,000","-31,018,484","-10,364,473"
EBT,"1,645,663,000","-2,493,331,000","-3,213,535,000","48,400,000","56,383,000","126,901,000","-27,769,000","-31,018,484","-10,364,473"
Tax,"501,378,000","-116,229,000","-578,965,000","21,542,000","21,323,000","45,520,000","-10,901,000","-10,271,697","-3,683,585"
PAT,"1,144,285,000","-2,377,102,000","-2,634,570,000","26,858,000","35,060,000","81,381,000","-16,868,000","-20,746,787","-6,680,888"
EPS,0.64,-1.37,-1.73,0.02,0.03,0.11,-0.11,-0.38,-0.12
