Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,8.18,-18.41,-21.38,0.18,0.27,1.07,-0.26,-4.02,-1.24
Return on Assets,3.86,-7.96,-9.04,0.09,0.18,1.04,-0.26,-0.64,-0.54
Book Value per Share,7.84,7.23,8.29,10.07,10.06,10.05,120.30,9.46,9.84
Earning Per Share,0.64,-1.37,-1.73,0.02,0.03,0.11,-0.11,-0.38,-0.12
Net Working Capital to Total Asseets,0.01,-0.02,-0.10,0.07,0.10,0.17,0.38,-0.17,0.03
Current Ratio,1.05,0.79,0.32,2.67,4.98,30.03,150.15,0.14,4.46
Acid Test,0.91,0.75,0.32,2.67,4.98,30.03,150.15,0.14,4.46
Times Interest Earned,2.46,-0.37,-1.54,0.00,0.00,0.00,0.00,0.00,0.00
Total Debt Ratio,0.53,0.57,0.58,0.48,0.34,0.03,0.00,0.84,0.57
Debt To Equity,1.12,1.31,1.37,0.91,0.51,0.03,0.00,5.30,1.32
Return on Capital Employed,0.10,-0.03,-0.08,0.00,0.00,0.02,-0.00,-0.01,-0.01
Average Collection Period,34.12,31.91,48.32,0.00,0.00,0.00,0.00,0.00,0.00
Days sales Inventory,26.08,7.94,3.73,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.32,0.27,0.07,0.00,0.00,0.00,0.00,0.00,0.00
Gross Profit Margin,32.24,28.20,-41.66,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit Margin,12.10,-29.70,-134.38,0.00,0.00,0.00,0.00,0.00,0.00
