Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,67.54,45.59,41.04,44.71,36.19,104.67,58.49,46.17,42.63,44.93,57.45,0.00,0.00
Plow Back,32.46,54.41,58.96,55.29,63.81,-4.67,41.51,53.83,57.37,55.07,42.55,100.00,100.00
Return on Equity,22.43,25.27,25.88,30.98,31.15,36.04,32.09,40.03,41.59,24.99,11.67,21.28,30.34
Return on Assets,9.46,10.53,10.75,12.44,11.77,17.89,14.22,15.82,18.46,8.08,3.24,7.29,8.96
Book Value per Share,33.00,34.73,35.31,30.69,23.97,26.61,42.62,40.59,33.84,22.27,17.90,19.77,93.37
Earning Per Share,7.40,8.77,9.14,9.51,7.47,9.59,13.68,16.25,14.07,5.56,2.09,4.21,4.72
Net Working Capital to Total Asseets,0.10,0.03,-0.06,0.03,0.07,0.22,0.21,0.16,0.17,0.14,0.01,0.07,0.04
Current Ratio,1.21,1.06,0.90,1.06,1.11,1.46,1.39,1.28,1.33,1.23,1.01,1.13,1.07
Acid Test,0.45,0.30,0.28,0.38,0.30,0.62,0.54,0.50,0.39,0.20,0.19,0.36,0.33
Times Interest Earned,10.69,9.68,10.81,20.15,17.51,39.43,12.80,14.07,12.77,3.88,2.60,3.54,5.16
Total Debt Ratio,0.58,0.58,0.58,0.60,0.62,0.50,0.56,0.60,0.56,0.68,0.72,0.66,0.70
Debt To Equity,1.37,1.40,1.41,1.49,1.65,1.01,1.26,1.53,1.25,2.09,2.60,1.92,2.39
Return on Capital Employed,0.29,0.30,0.31,0.40,0.46,0.51,0.48,0.58,0.60,0.41,0.31,0.39,0.41
Average Collection Period,32.27,19.82,20.07,31.41,27.70,36.19,29.90,27.85,14.71,19.02,20.57,26.66,30.89
Days sales Inventory,116.10,130.77,107.08,111.21,133.01,109.41,128.99,125.24,117.82,160.69,173.96,118.20,134.11
Total Assets Turnover,1.65,1.60,1.84,1.87,2.00,2.09,1.95,2.01,2.27,1.93,1.68,1.97,1.75
Gross Profit Margin,31.72,32.04,34.39,33.04,32.21,35.01,35.05,34.61,32.52,28.51,29.55,29.97,32.20
Net Profit Margin,5.74,6.57,5.85,6.65,5.87,8.56,7.29,7.88,8.14,4.18,1.93,3.71,5.11
