Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,25.12,0.00,40.88,41.31,0.00,0.00,0.00,6.12,12.51,12.73
Plow Back,100.00,100.00,74.88,100.00,59.13,58.69,100.00,100.00,100.00,93.88,87.50,87.27
Return on Equity,-4.07,15.48,3.25,-10.77,5.10,4.63,4.97,12.06,10.29,20.59,15.20,27.90
Return on Assets,-1.81,5.30,1.13,-3.66,2.85,2.45,2.54,5.64,3.71,5.61,5.67,9.55
Book Value per Share,210.88,161.71,183.43,204.43,239.70,183.02,134.77,104.96,101.35,79.30,78.92,70.36
Earning Per Share,-8.58,25.04,5.97,-22.01,12.23,8.47,6.70,12.66,10.43,14.20,11.99,17.85
Net Working Capital to Total Asseets,0.02,-0.12,0.02,0.07,0.19,0.16,0.01,0.05,0.01,0.03,-0.06,0.03
Current Ratio,1.06,0.72,1.04,1.13,1.69,1.55,1.04,1.20,1.03,1.06,0.84,1.07
Acid Test,0.60,0.25,0.60,0.52,1.42,1.10,0.63,0.77,0.29,0.19,0.44,0.45
Times Interest Earned,0.87,2.03,1.53,-0.28,2.69,1.97,1.55,1.88,1.82,2.16,2.50,3.47
Total Debt Ratio,0.55,0.66,0.65,0.66,0.44,0.47,0.49,0.53,0.64,0.73,0.63,0.66
Debt To Equity,1.24,1.92,1.89,1.94,0.79,0.89,0.96,1.14,1.78,2.67,1.68,1.92
Return on Capital Employed,0.07,0.25,0.09,-0.02,0.09,0.10,0.11,0.13,0.15,0.25,0.29,0.38
Average Collection Period,7.14,2.73,3.31,13.56,5.72,4.13,3.93,1.44,1.40,1.80,11.76,17.01
Days sales Inventory,72.84,138.45,125.43,285.11,42.40,73.97,49.15,28.95,119.78,159.59,34.89,80.20
Total Assets Turnover,0.73,0.64,0.64,0.38,0.72,0.72,1.03,1.38,0.93,1.12,1.90,1.37
Gross Profit Margin,6.57,16.30,9.16,-1.68,8.72,10.63,7.67,6.67,6.81,13.30,12.25,18.39
Net Profit Margin,-2.50,8.24,1.76,-9.64,3.99,3.40,2.47,4.09,3.98,5.03,2.98,6.96
