Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,46.40,65.91,69.77,69.52,68.62,69.02,59.86,58.52,58.46,42.98,34.24,56.75,36.03
Plow Back,53.60,34.09,30.23,30.48,31.38,30.98,40.14,41.48,41.54,57.02,65.76,43.25,63.97
Return on Equity,12.34,34.25,42.92,41.67,41.46,37.90,19.45,18.98,25.29,19.43,27.36,13.45,24.28
Return on Assets,6.33,21.17,19.25,20.35,19.91,18.08,14.83,13.37,15.60,10.22,12.69,6.70,16.66
Book Value per Share,523.78,509.48,467.49,396.91,351.52,305.80,253.38,225.10,216.46,17.96,160.15,131.00,120.06
Earning Per Share,64.66,174.49,200.66,165.41,145.74,115.91,49.28,42.72,54.74,34.90,43.81,17.62,29.15
Net Working Capital to Total Asseets,0.31,0.41,-0.46,0.39,0.30,0.28,0.54,0.59,0.50,0.38,0.35,0.33,0.43
Current Ratio,1.65,2.10,0.17,1.76,1.58,1.53,3.35,2.99,2.32,1.84,1.67,1.69,2.56
Acid Test,1.22,1.52,-0.09,1.47,1.32,1.29,2.58,1.91,1.58,1.36,1.30,1.26,1.80
Times Interest Earned,86.00,282.51,41.18,49.09,226.15,273.39,132.14,162.86,108.34,53.02,1467.03,78.09,1284.23
Total Debt Ratio,0.49,0.38,0.55,0.51,0.52,0.52,0.24,0.30,0.38,0.47,0.54,0.50,0.31
Debt To Equity,0.95,0.62,1.23,1.05,1.08,1.10,0.31,0.42,0.62,0.90,1.16,1.01,0.46
Return on Capital Employed,0.18,0.47,0.64,0.63,0.63,0.59,0.25,0.28,0.37,0.28,0.41,0.19,0.36
Average Collection Period,4.84,5.89,3.78,2.47,3.80,1.69,11.11,7.91,6.92,8.02,9.80,16.74,11.74
Days sales Inventory,76.10,37.09,36.09,37.59,31.83,28.08,32.83,50.60,39.96,37.25,34.99,43.31,27.88
Total Assets Turnover,1.07,2.44,1.71,1.76,1.89,1.92,2.19,2.54,2.79,2.30,2.21,1.83,3.01
Gross Profit Margin,8.65,12.15,17.39,17.66,16.30,14.76,10.15,9.18,8.53,6.63,7.84,6.14,9.29
Net Profit Margin,5.90,8.68,11.25,11.58,10.53,9.44,6.79,5.26,5.59,4.45,5.73,3.66,5.53
