Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008
Payout,35.43,91.69,86.74,99.51,97.88,92.98,87.87,90.83,96.03,80.12,69.89,79.36
Plow Back,64.57,8.31,13.26,0.49,2.12,7.02,12.13,9.17,3.97,19.88,30.11,20.64
Return on Equity,16.64,25.61,55.30,35.09,43.09,42.85,50.23,50.57,31.91,23.75,26.09,19.18
Return on Assets,10.92,15.84,33.11,22.50,27.11,28.58,30.68,31.43,22.55,19.31,21.87,15.52
Book Value per Share,42.41,53.23,43.78,41.52,46.23,45.81,31.72,28.30,26.10,23.65,21.94,19.71
Earning Per Share,7.06,13.63,24.21,14.57,19.92,19.63,15.93,14.31,8.33,5.62,5.72,3.78
Net Working Capital to Total Asseets,0.21,0.17,0.27,0.26,0.27,0.28,0.37,0.38,0.41,0.41,0.38,0.31
Current Ratio,1.67,1.47,1.70,1.79,1.77,1.90,2.03,2.15,2.67,4.27,5.09,3.90
Acid Test,1.12,1.06,1.40,1.48,1.42,1.59,1.58,1.68,2.09,2.71,3.54,2.65
Times Interest Earned,5.25,8.28,29.96,17.32,25.74,24.16,26.73,31.40,44.48,66.26,40.83,13.57
Total Debt Ratio,0.34,0.38,0.40,0.36,0.37,0.33,0.39,0.38,0.29,0.19,0.16,0.19
Debt To Equity,0.52,0.62,0.67,0.56,0.59,0.50,0.64,0.61,0.42,0.23,0.19,0.24
Return on Capital Employed,0.24,0.36,0.69,0.46,0.56,0.56,0.67,0.63,0.43,0.30,0.32,0.26
Average Collection Period,85.87,72.38,76.86,63.48,58.32,64.95,60.79,52.61,45.37,22.15,38.26,54.98
Days sales Inventory,136.89,150.77,80.60,83.94,84.11,62.29,84.06,62.38,58.41,103.30,69.13,82.91
Total Assets Turnover,0.70,0.62,1.04,0.84,0.99,1.02,1.22,1.41,1.29,1.01,1.11,0.88
Gross Profit Margin,35.53,43.19,49.85,46.54,46.65,44.33,42.50,35.61,31.27,32.59,31.95,32.64
Net Profit Margin,15.50,25.53,31.73,26.72,27.52,28.00,25.20,22.28,17.52,19.09,19.67,17.59
