Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.73,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,44.27,100.00
Return on Equity,0.00,0.00,-132.99,-46.27,-43.14,-104.31,-158.53,-55.24,10.01,12.83,10.53,20.95
Return on Assets,-26.06,-47.63,-21.02,-19.22,-12.59,-22.09,-10.01,-9.30,2.72,3.05,2.98,6.51
Book Value per Share,-4.97,-6.96,4.05,9.36,16.97,10.69,6.43,16.61,25.80,25.56,20.45,20.13
Earning Per Share,-4.62,-10.96,-5.39,-9.22,-8.75,-11.75,-10.19,-9.18,2.58,2.98,2.15,6.86
Net Working Capital to Total Asseets,-0.44,-0.72,-0.21,0.14,-0.41,-0.44,-0.09,-0.15,-0.13,0.02,-0.16,-0.09
Current Ratio,0.44,0.31,0.58,1.70,0.40,0.44,0.87,0.78,0.80,1.04,0.73,0.81
Acid Test,0.37,0.18,0.36,1.22,0.25,0.28,0.67,0.52,0.33,0.58,0.41,0.38
Times Interest Earned,-0.74,-1.50,-3.91,-5.93,-9.06,-4.03,-1.01,-1.73,1.79,2.13,2.24,1.90
Total Debt Ratio,1.34,1.30,0.84,0.58,0.71,0.79,0.94,0.83,0.73,0.76,0.72,0.69
Debt To Equity,-3.94,-4.30,5.33,1.41,2.43,3.72,14.84,4.94,2.69,3.20,2.53,2.22
Return on Capital Employed,-0.54,4.01,-0.39,-0.27,-0.57,-1.00,-0.13,-0.21,0.24,0.21,0.25,0.26
Average Collection Period,17.37,11.51,5.62,6.76,8443.49,4.23,36.87,22.06,12.04,9.09,13.78,12.91
Days sales Inventory,36.70,95.50,72.07,60.44,87.06,40.66,35.24,33.27,51.07,49.42,30.55,38.11
Total Assets Turnover,0.63,0.47,0.60,0.59,0.44,1.18,1.55,2.13,2.49,2.17,2.66,2.34
Gross Profit Margin,0.84,-11.82,4.73,2.67,3.13,8.23,9.31,9.97,12.23,12.21,10.91,12.43
Net Profit Margin,-41.48,-100.77,-35.20,-32.69,-28.69,-18.74,-6.47,-4.37,1.09,1.41,1.12,2.78
