Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.29,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.70,100.00,100.00
Return on Equity,-5.28,-2.80,-5.75,-3.84,2.04,-1.60,2.83,-19.20,-21.47,2.16,20.54,1.19,-13.81
Return on Assets,-2.49,-1.35,-2.72,-1.37,0.75,-0.56,0.97,-5.61,-6.94,0.85,7.27,0.45,-4.87
Book Value per Share,6.90,7.19,7.46,7.90,8.20,8.03,8.16,7.93,9.45,11.48,11.34,12.36,12.22
Earning Per Share,-0.36,-0.20,-0.43,-0.30,0.17,-0.13,0.23,-1.52,-2.03,0.25,2.33,0.15,-1.69
Net Working Capital to Total Asseets,0.30,0.33,0.38,0.38,0.39,0.22,0.14,0.19,0.19,0.19,0.16,-0.11,-0.09
Current Ratio,1.71,1.81,2.07,2.68,3.08,1.68,1.42,1.63,1.76,1.77,1.61,0.62,0.62
Acid Test,1.71,1.81,2.07,2.68,3.08,1.68,1.42,1.63,1.76,1.77,1.61,0.62,0.61
Times Interest Earned,0.39,0.82,-0.66,-0.15,3.82,0.85,1.44,-2.12,-2.22,1.39,3.26,1.19,-0.94
Total Debt Ratio,0.53,0.52,0.53,0.64,0.63,0.65,0.66,0.71,0.68,0.61,0.65,0.62,0.65
Debt To Equity,1.12,1.07,1.12,1.79,1.70,1.85,1.91,2.42,2.09,1.55,1.83,1.62,1.84
Return on Capital Employed,0.02,0.02,-0.01,-0.00,0.04,0.03,0.06,-0.09,-0.09,0.06,0.25,0.09,-0.06
Average Collection Period,108.29,105.73,270.42,260.01,168.76,76.88,25.27,45.19,33.72,27.30,33.90,32.45,62.76
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.19,0.13,0.21,1.81,1.24,1.70
Total Assets Turnover,0.27,0.24,0.19,0.15,0.15,0.15,0.23,0.22,0.16,0.19,0.25,0.39,0.18
Gross Profit Margin,44.65,40.28,36.40,22.50,16.08,26.25,40.89,32.95,-15.07,10.35,26.27,31.16,-14.95
Net Profit Margin,-9.24,-5.54,-14.66,-9.22,4.99,-3.66,4.31,-25.23,-42.40,4.50,28.93,1.16,-26.58
