Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,-67.98,80.70,53.78,117.47,-80.22,32.27,0.00,0.00,50.87,88.18,-127.01
Plow Back,100.00,167.98,19.30,46.22,-17.47,180.22,67.73,100.00,100.00,49.13,11.82,227.01
Return on Equity,-34.62,-17.34,31.21,60.89,15.23,-18.10,14.69,-33.72,10.97,20.45,30.99,-27.59
Return on Assets,-2.64,-2.24,8.18,15.91,2.40,-2.76,2.61,-4.64,1.84,4.20,7.62,-4.39
Book Value per Share,40.10,59.37,95.30,103.82,55.89,55.09,84.37,72.14,120.58,115.35,120.76,91.34
Earning Per Share,-13.88,-10.30,29.74,63.22,8.51,-9.97,12.40,-24.33,13.23,23.59,37.42,-25.20
Net Working Capital to Total Asseets,-0.27,-0.22,-0.14,-0.10,-0.14,-0.13,-0.08,-0.10,-0.08,-0.13,-0.11,-0.10
Current Ratio,0.69,0.75,0.82,0.87,0.83,0.85,0.90,0.88,0.90,0.84,0.85,0.88
Acid Test,0.32,0.40,0.48,0.54,0.41,0.45,0.36,0.43,0.46,0.43,0.33,0.58
Times Interest Earned,0.91,0.84,19.39,28.98,8.84,2.22,5.56,1.00,2.35,3.41,3.79,-1.00
Total Debt Ratio,0.92,0.87,0.74,0.74,0.84,0.85,0.82,0.86,0.83,0.79,0.75,0.84
Debt To Equity,12.09,6.73,2.81,2.83,5.34,5.56,4.62,6.27,4.95,3.87,3.07,5.28
Return on Capital Employed,0.17,0.05,0.44,0.53,0.41,0.16,0.39,0.25,0.58,0.53,0.63,-0.17
Average Collection Period,8.30,6.40,6.70,4.62,2.96,3.82,3.31,3.44,4.14,3.72,2.90,6.54
Days sales Inventory,34.43,31.81,22.52,24.63,25.99,19.64,27.37,31.19,31.55,24.34,33.40,21.02
Total Assets Turnover,3.56,3.79,4.34,3.94,5.20,6.48,6.14,4.74,4.46,5.13,4.64,4.15
Gross Profit Margin,7.56,8.28,8.81,8.35,5.38,3.02,4.57,4.36,5.70,6.14,8.27,3.95
Net Profit Margin,-0.74,-0.59,1.89,4.04,0.46,-0.43,0.43,-0.98,0.41,0.82,1.64,-1.06
