Year,2019,2018,2017,2016,2012,2011,2010,2009,2008
Payout,22.53,20.20,39.99,29.71,32.41,0.00,16.54,31.26,30.23
Plow Back,77.47,79.80,60.01,70.29,67.59,100.00,83.46,68.74,69.77
Return on Equity,4.49,10.31,21.16,23.71,18.79,-15.07,12.07,19.12,25.22
Return on Assets,1.78,3.83,8.28,10.39,7.18,-5.31,5.52,9.27,13.94
Book Value per Share,148.33,144.06,141.77,120.70,65.67,53.33,62.62,58.56,56.40
Earning Per Share,6.66,14.85,30.01,28.61,12.34,-8.04,7.56,11.20,12.93
Net Working Capital to Total Asseets,0.20,0.19,0.21,0.34,0.25,0.19,0.31,0.36,0.40
Current Ratio,1.36,1.36,1.41,1.64,1.41,1.30,1.62,1.74,1.97
Acid Test,1.04,0.97,1.00,1.18,0.94,0.95,1.07,1.20,1.19
Times Interest Earned,1.69,5.62,20.33,16.62,7.64,-8.62,9.89,21.52,21.10
Total Debt Ratio,0.60,0.63,0.61,0.56,0.62,0.65,0.54,0.52,0.45
Debt To Equity,1.52,1.69,1.56,1.28,1.62,1.84,1.19,1.06,0.81
Return on Capital Employed,0.13,0.13,0.25,0.31,0.26,-0.19,0.19,0.27,0.34
Average Collection Period,126.89,97.22,116.46,114.81,127.76,162.68,112.79,94.95,75.58
Days sales Inventory,104.83,90.97,94.75,82.90,111.58,98.55,117.69,98.79,105.19
Total Assets Turnover,0.76,0.97,1.07,1.36,1.16,0.97,1.13,1.27,1.53
Gross Profit Margin,19.53,13.48,22.39,21.16,20.63,16.91,23.61,24.41,27.05
Net Profit Margin,2.34,3.96,7.74,7.63,6.19,-5.46,4.87,7.30,9.10
