Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,97.13,96.39,80.06,61.65,87.02,79.02,81.78,93.12,70.23,92.52,101.44
Plow Back,2.87,3.62,19.94,38.35,12.98,20.98,18.22,6.88,29.77,7.48,-1.44
Return on Equity,70.47,58.19,56.61,79.85,67.97,60.54,57.73,42.08,10.91,25.68,70.94
Return on Assets,31.88,25.56,29.79,40.80,28.47,22.10,17.92,12.45,2.73,7.47,24.72
Book Value per Share,71.59,69.53,66.19,50.79,40.57,31.36,21.18,16.08,13.05,14.10,16.67
Earning Per Share,50.45,40.46,37.47,40.55,27.58,18.98,12.23,6.77,1.42,3.62,11.83
Net Working Capital to Total Asseets,0.19,0.21,0.30,0.23,0.11,0.03,-0.02,-0.03,-0.13,-0.09,-0.05
Current Ratio,1.38,1.39,1.69,1.52,1.20,1.06,0.96,0.95,0.81,0.85,0.91
Acid Test,0.29,0.51,0.61,0.23,0.07,0.07,0.06,0.07,0.06,0.04,0.04
Times Interest Earned,91.27,452.69,231.95,336.64,148.21,73.56,65.80,20.17,6.52,10.47,107.13
Total Debt Ratio,0.55,0.56,0.47,0.49,0.58,0.63,0.69,0.70,0.75,0.71,0.65
Debt To Equity,1.21,1.28,0.90,0.96,1.39,1.74,2.22,2.38,2.99,2.44,1.87
Return on Capital Employed,0.91,0.82,0.71,1.07,0.90,0.77,0.71,0.53,0.15,0.33,0.87
Average Collection Period,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.03,0.03
Days sales Inventory,312.89,234.01,238.13,234.41,220.08,198.22,176.09,158.42,145.32,153.50,162.48
Total Assets Turnover,1.29,1.31,1.38,1.77,1.73,1.67,1.76,1.86,1.72,1.69,1.77
Gross Profit Margin,50.43,43.84,47.93,50.76,43.24,37.81,34.65,32.63,27.19,29.61,37.96
Net Profit Margin,24.80,19.46,21.60,23.09,16.42,13.24,10.20,6.68,1.58,4.42,13.95
