Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,42.13,51.23,40.77,36.23,34.39,43.46,52.60,61.54,59.04,58.74,63.12,65.46
Plow Back,57.87,48.77,59.23,63.77,65.61,56.54,47.40,38.46,40.96,41.26,36.88,34.54
Return on Equity,28.21,25.29,25.93,29.48,30.79,23.97,16.51,11.93,12.10,9.87,9.05,9.03
Return on Assets,20.98,19.25,18.63,18.88,19.39,13.98,9.83,6.14,5.93,4.04,3.75,4.28
Book Value per Share,109.37,100.34,94.59,79.56,70.83,62.39,51.83,47.67,42.00,43.12,43.76,42.29
Earning Per Share,30.86,25.37,24.53,23.46,21.81,14.96,8.56,5.69,5.08,4.26,3.96,3.82
Net Working Capital to Total Asseets,0.55,0.56,0.50,0.42,0.38,0.32,0.28,0.21,0.18,0.15,0.12,0.13
Current Ratio,4.76,5.83,4.19,2.80,2.66,2.25,2.45,1.76,1.64,1.41,1.26,1.37
Acid Test,2.13,2.74,2.06,1.30,1.02,0.97,0.60,0.43,0.47,0.40,0.35,0.51
Times Interest Earned,57.06,126.93,184.94,131.10,77.16,34.50,12.37,4.28,3.05,2.18,2.28,2.16
Total Debt Ratio,0.26,0.24,0.28,0.36,0.37,0.42,0.40,0.49,0.51,0.59,0.59,0.53
Debt To Equity,0.34,0.31,0.39,0.56,0.59,0.71,0.68,0.94,1.04,1.44,1.42,1.11
Return on Capital Employed,0.35,0.32,0.32,0.37,0.38,0.29,0.20,0.17,0.19,0.18,0.18,0.15
Average Collection Period,15.78,13.69,15.32,5.41,5.63,7.46,7.71,10.74,6.85,6.03,5.78,26.62
Days sales Inventory,133.73,123.37,130.28,134.55,135.84,113.53,114.55,153.68,93.19,134.97,171.76,131.75
Total Assets Turnover,1.95,1.99,1.78,1.79,1.92,1.90,1.90,1.46,1.89,1.51,1.34,1.31
Gross Profit Margin,46.00,46.65,47.66,46.90,47.51,44.78,40.91,41.57,31.04,34.27,36.24,35.53
Net Profit Margin,10.73,9.68,10.49,10.55,10.08,7.36,5.17,4.19,3.14,2.67,2.80,3.27
