Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,5.41,7.36,23.74,49.74,65.76,48.92,47.93,41.13,36.94,45.60,38.43,38.94,59.33
Plow Back,94.59,92.64,76.26,50.26,34.24,51.08,52.07,58.88,63.06,54.40,61.57,61.06,40.67
Return on Equity,14.58,20.64,19.00,16.51,8.95,17.84,28.26,28.09,32.38,33.30,29.18,43.93,45.14
Return on Assets,9.27,13.45,12.44,11.00,6.33,13.83,21.76,19.70,23.99,25.33,21.68,33.41,32.29
Book Value per Share,126.64,131.69,121.92,109.58,97.71,97.36,92.26,90.90,96.15,79.02,80.24,75.99,57.87
Earning Per Share,18.47,27.18,23.17,18.10,8.74,17.37,26.08,25.53,31.13,26.31,23.42,33.38,23.75
Net Working Capital to Total Asseets,0.40,0.34,0.30,0.31,0.22,0.30,0.26,0.22,0.42,0.34,0.40,0.37,0.40
Current Ratio,2.65,2.66,2.72,2.89,2.88,4.25,3.81,2.29,4.38,3.15,3.21,3.10,2.79
Acid Test,2.62,2.63,2.67,2.81,2.75,4.08,3.64,2.22,4.22,3.03,3.11,2.97,2.67
Times Interest Earned,66.88,108.87,144.01,105.38,41.53,89.77,176.19,159.78,361.49,236.42,224.00,448.61,457.99
Total Debt Ratio,0.36,0.35,0.35,0.33,0.29,0.22,0.23,0.30,0.26,0.24,0.26,0.24,0.28
Debt To Equity,0.57,0.53,0.53,0.50,0.41,0.29,0.30,0.43,0.35,0.31,0.35,0.31,0.40
Return on Capital Employed,0.17,0.22,0.21,0.18,0.11,0.22,0.35,0.36,0.43,0.46,0.39,0.62,0.64
Average Collection Period,722.97,506.40,412.51,309.77,263.38,205.46,151.90,143.84,190.27,149.71,187.56,164.66,105.61
Days sales Inventory,18.23,12.86,20.39,25.01,27.90,26.16,27.45,24.13,32.85,27.11,29.80,33.12,36.13
Total Assets Turnover,0.29,0.36,0.34,0.36,0.29,0.42,0.51,0.48,0.56,0.63,0.56,0.74,0.75
Gross Profit Margin,48.42,45.49,49.96,45.90,32.41,48.00,60.67,58.09,59.97,60.90,57.72,66.51,64.54
Net Profit Margin,31.89,37.61,36.20,30.50,21.51,32.82,42.91,40.98,42.53,40.19,38.89,44.99,43.11
