Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.07,-0.05,0.12,0.14,0.15,0.00,0.15,0.18,0.13,-0.04,0.08,0.16
Current Ratio,2.28,0.00,4.66,7.56,6.14,1.04,5.15,2.54,2.23,0.76,3.64,3.09
Time Interest Earn,1.84,2.12,4.00,7.01,20.11,-0.38,2.18,5.54,-1.42,-9.61,-24.20,19.25
Return on Capital Employed,0.04,0.03,0.03,0.03,0.13,0.00,0.03,0.20,-0.07,-0.63,-0.62,0.53
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.23,0.00,-8.50,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,75.77,100.00,108.50,100.00,100.00
Return on Equity,1.44,0.87,1.33,2.07,11.19,0.88,1.31,17.34,-13.96,-88.70,-74.76,55.44
Return on Assets,1.22,0.72,1.16,1.91,10.48,0.82,1.21,14.39,-10.47,-58.40,-62.17,45.88
Book Value per Share,27.33,25.98,30.05,32.81,27.62,28.12,18.04,17.85,11.98,13.27,25.26,139.75
Earning Per Share,0.39,0.23,0.40,0.68,3.36,0.25,0.24,3.10,-1.67,-11.77,-18.88,22.96
