Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,10.02,41.42,40.63,40.85,41.14,23.24,19.52,43.76,0.00,0.00,0.00,0.00
Plow Back,100.00,89.98,58.58,59.37,59.15,58.86,76.76,80.48,56.24,100.00,100.00,100.00,100.00
Return on Equity,-18.83,14.99,19.08,18.70,15.37,16.05,27.06,33.01,15.90,2.94,-0.61,7.02,0.48
Return on Assets,-5.75,5.00,6.99,10.40,9.09,13.61,20.47,24.17,9.27,1.28,-0.28,3.36,0.24
Book Value per Share,51.74,66.56,63.26,59.23,51.75,45.44,46.27,38.80,28.75,24.40,23.50,23.73,22.58
Earning Per Share,-9.74,9.98,12.07,11.08,7.96,8.01,12.52,12.81,4.57,0.72,-0.14,1.67,0.11
Net Working Capital to Total Asseets,0.02,0.05,0.09,0.11,0.01,0.15,0.31,0.15,0.05,-0.02,-0.08,0.06,0.03
Current Ratio,1.14,1.31,1.72,1.78,1.11,2.74,3.30,1.96,1.24,0.95,0.76,1.25,1.08
Acid Test,0.33,0.54,0.75,0.59,0.39,0.99,1.54,0.17,0.10,0.09,0.07,0.15,0.13
Times Interest Earned,-0.08,1.92,7.02,14.33,47.93,45.15,59.71,15.51,2.84,1.19,-0.85,3.25,0.31
Total Debt Ratio,0.69,0.67,0.63,0.44,0.41,0.15,0.24,0.27,0.42,0.57,0.54,0.52,0.51
Debt To Equity,2.27,2.00,1.73,0.80,0.69,0.18,0.32,0.37,0.71,1.30,1.16,1.09,1.03
Return on Capital Employed,-0.01,0.08,0.09,0.17,0.15,0.20,0.31,0.39,0.24,0.10,-0.04,0.10,0.01
Average Collection Period,6.42,7.17,4.78,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days sales Inventory,103.34,133.66,114.62,173.31,106.59,115.26,130.19,124.55,100.75,154.54,122.33,110.54,194.61
Total Assets Turnover,0.52,0.45,0.47,0.51,0.46,0.69,1.00,1.24,1.16,0.79,0.71,0.96,0.69
Gross Profit Margin,2.26,18.18,21.82,33.31,37.21,30.21,32.59,34.74,21.12,13.36,2.57,14.69,5.95
Net Profit Margin,-11.08,11.11,14.82,20.29,19.85,19.62,20.40,19.45,8.01,1.62,-0.40,3.49,0.34
