Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.60,0.67,0.74,0.79,0.77,0.80,0.79,0.52,0.41,0.30,0.22,0.51
Current Ratio,4.21,7.56,9.22,11.72,10.93,14.06,14.72,2.88,2.24,1.71,1.44,2.29
Time Interest Earn,-0.54,18.14,232.81,11878.71,13628.04,1279.60,14.00,2.31,1.19,1.25,-5.09,3.72
Return on Capital Employed,-0.01,0.03,0.03,0.07,0.08,0.24,0.34,0.24,0.14,0.23,-1.49,0.30
Payout,-285.18,0.00,0.00,20.07,0.00,0.00,16.72,49.33,0.00,0.00,0.00,45.51
Plow Back,385.18,100.00,100.00,79.93,100.00,100.00,83.28,50.67,100.00,100.00,100.00,54.49
Return on Equity,-4.77,1.94,1.37,7.22,7.55,24.57,31.19,14.94,2.72,7.95,-394.33,28.16
Return on Assets,-3.38,1.71,1.24,6.50,6.74,22.28,28.84,10.05,1.36,2.62,-85.43,12.84
Book Value per Share,29.38,26.83,29.25,34.49,28.79,26.44,19.18,13.57,8.79,5.72,4.36,19.51
Earning Per Share,-1.17,0.52,0.40,2.49,1.75,6.49,5.98,2.03,0.24,0.45,-17.21,5.49
