Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,-6.51,1.73,4.63,4.32,4.07,3.42,3.03,0.35,0.89,-4.60,-5.19,-4.63,-7.46
Return on Assets,-3.25,1.06,1.86,2.23,2.31,1.92,1.67,0.19,0.51,-2.68,-3.10,-2.98,-5.09
Book Value per Share,46.34,46.77,22.27,21.23,20.32,19.49,18.82,18.25,18.19,18.03,18.86,19.84,20.76
Earning Per Share,-2.91,0.81,1.03,1.13,1.11,0.67,0.86,0.17,0.16,-1.26,-1.15,-1.36,-1.88
Net Working Capital to Total Asseets,-0.05,-0.03,0.04,-0.03,-0.12,-0.15,-0.13,-0.11,-0.08,-0.05,-0.01,0.00,0.00
Current Ratio,0.79,0.86,1.16,0.86,0.57,0.50,0.49,0.56,0.58,0.68,0.93,1.00,1.03
Acid Test,0.24,0.39,0.77,0.51,0.30,0.18,0.14,0.12,0.16,0.21,0.31,0.32,0.39
Times Interest Earned,-5.41,6.63,6.31,25.60,68.00,133.91,7.62,2.25,-2.50,-3.94,-6.18,-2.64,-9.64
Total Debt Ratio,0.50,0.39,0.60,0.48,0.43,0.44,0.45,0.45,0.43,0.42,0.40,0.36,0.32
Debt To Equity,1.00,0.64,1.49,0.93,0.77,0.78,0.81,0.82,0.75,0.72,0.67,0.55,0.47
Return on Capital Employed,-0.03,0.02,0.04,0.04,0.04,0.04,0.04,0.01,-0.04,-0.04,-0.04,-0.04,-0.06
Average Collection Period,1.18,1.12,1.08,0.51,0.17,1.04,0.91,3.71,1.65,3.16,2.03,5.91,26.54
Days sales Inventory,498.64,143.23,143.72,104.37,77.71,100.13,97.73,264.52,113.81,157.50,704.93,203.84,344.65
Total Assets Turnover,0.07,0.24,0.30,0.34,0.39,0.36,0.34,0.14,0.23,0.13,0.01,0.12,0.03
Gross Profit Margin,-42.83,5.83,8.83,8.23,6.73,5.38,5.13,-0.61,-12.95,-22.52,-197.32,-22.36,-175.06
Net Profit Margin,-49.16,4.35,6.24,6.53,5.88,5.27,4.86,1.32,2.18,-20.16,-213.57,-24.28,-172.20
