Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Net Working Capital to Total Asseets,0.50,0.83,0.74,0.76,0.80,0.83,0.46,0.28,0.24,0.27,0.25,0.08
Current Ratio,3.12,19.24,6.16,10.47,12.78,16.35,2.16,1.56,1.47,1.58,1.47,1.13
Time Interest Earn,0.00,4.91,24.61,10.13,2.94,1.62,1.15,1.03,1.02,1.07,-2.32,1.20
Return on Capital Employed,0.08,0.05,0.13,0.02,0.01,0.07,0.08,0.12,0.08,0.12,-0.31,0.52
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,6.19,2.88,10.43,1.55,0.16,2.36,0.71,0.57,0.57,2.17,-42.76,8.74
Return on Assets,4.71,2.10,8.94,1.42,0.15,2.23,0.43,0.29,0.27,1.17,-20.08,2.86
Book Value per Share,12.42,11.64,11.31,11.14,10.09,10.04,9.39,9.44,8.81,8.80,8.76,5.92
Earning Per Share,0.77,0.34,1.18,0.17,0.02,0.24,0.07,0.05,0.05,0.19,-3.75,0.52
