Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,60.46,64.45,59.87,50.98,49.95,52.78,51.66,38.59,38.83,40.55,38.17,38.90
Plow Back,39.54,35.55,40.13,49.02,50.05,47.22,48.34,61.41,61.17,59.45,61.83,61.10
Return on Equity,18.57,20.88,29.15,28.30,27.28,25.45,25.29,24.51,22.22,21.69,18.31,10.98
Return on Assets,9.91,10.04,14.65,14.63,14.74,14.90,13.93,13.38,10.99,10.42,8.36,4.94
Book Value per Share,133.62,148.60,154.74,128.21,106.40,89.34,76.53,79.30,75.34,73.90,71.55,70.22
Earning Per Share,24.81,31.03,45.10,36.29,29.03,22.73,19.36,19.44,16.74,16.03,13.10,6.71
Net Working Capital to Total Asseets,0.23,0.22,0.27,0.27,0.28,0.30,0.28,0.25,0.20,0.20,0.20,0.11
Current Ratio,1.54,1.44,1.57,1.60,1.66,1.83,1.71,1.65,1.45,1.45,1.49,1.26
Acid Test,1.12,1.07,1.36,1.36,1.39,1.46,1.27,1.09,0.93,0.92,0.93,0.55
Times Interest Earned,78.78,179.76,276.68,197.99,265.69,397.05,335.67,227.97,139.26,16.09,10.57,2.53
Total Debt Ratio,0.47,0.52,0.50,0.48,0.46,0.41,0.45,0.45,0.51,0.52,0.54,0.55
Debt To Equity,0.87,1.08,0.99,0.93,0.85,0.71,0.82,0.83,1.02,1.08,1.19,1.22
Return on Capital Employed,0.25,0.28,0.37,0.36,0.34,0.32,0.31,0.30,0.27,0.29,0.24,0.21
Average Collection Period,3.50,4.94,4.06,3.53,4.04,5.62,4.27,4.44,5.75,4.50,6.37,6.01
Days sales Inventory,25.85,27.89,17.14,16.83,17.39,18.49,22.15,24.20,26.00,28.26,30.79,44.79
Total Assets Turnover,2.73,2.58,2.43,2.52,2.70,2.90,3.10,3.52,3.47,3.38,3.00,2.63
Gross Profit Margin,7.21,7.96,10.70,10.51,10.26,10.21,9.50,8.69,7.30,7.50,7.82,6.93
Net Profit Margin,3.63,3.89,6.02,5.82,5.46,5.14,4.50,3.80,3.17,3.08,2.79,1.88
