Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,31.10,22.11,3.66,0.00,0.00,0.00,19.64,22.64,22.44,18.48,0.00
Plow Back,100.00,68.90,77.89,96.34,100.00,100.00,100.00,80.36,77.36,77.56,81.52,100.00
Return on Equity,-3.42,2.53,5.41,22.77,4.24,2.94,3.30,21.24,18.76,22.11,22.05,13.69
Return on Assets,-2.17,1.86,4.48,16.22,3.01,1.62,1.82,11.24,10.46,13.79,12.44,6.14
Book Value per Share,121.95,127.13,125.46,119.95,116.70,88.07,85.42,83.91,70.64,60.47,49.07,38.23
Earning Per Share,-4.17,3.22,6.78,27.31,4.94,2.59,2.82,17.82,13.25,13.37,10.82,5.23
Net Working Capital to Total Asseets,0.18,0.22,0.26,0.28,0.12,0.06,0.09,0.07,0.04,0.04,0.01,-0.05
Current Ratio,2.12,2.26,3.30,2.66,1.89,1.31,1.54,1.34,1.29,1.19,1.04,0.79
Acid Test,0.60,0.72,1.04,1.53,0.78,0.45,0.47,0.29,0.29,0.63,0.46,0.23
Times Interest Earned,0.49,4.34,8.56,12.28,3.14,1.85,1.55,5.60,6.71,6.88,4.09,2.39
Total Debt Ratio,0.36,0.26,0.17,0.29,0.29,0.45,0.45,0.47,0.44,0.38,0.44,0.55
Debt To Equity,0.57,0.36,0.21,0.40,0.41,0.81,0.81,0.89,0.79,0.60,0.77,1.23
Return on Capital Employed,0.02,0.06,0.08,0.20,0.06,0.07,0.08,0.13,0.16,0.24,0.24,0.16
Average Collection Period,6.67,2.85,2.74,2.09,2.17,1.74,3.18,2.64,2.21,1.59,1.87,2.70
Days sales Inventory,115.64,85.35,89.67,98.22,79.29,84.36,64.17,100.77,62.45,37.47,46.09,66.66
Total Assets Turnover,0.79,1.24,1.15,0.76,0.68,0.75,1.00,0.79,0.91,1.24,1.00,0.83
Gross Profit Margin,4.14,5.81,8.34,6.08,2.82,2.25,2.77,7.02,7.31,8.37,10.14,10.48
Net Profit Margin,-2.75,1.51,3.91,21.25,4.42,2.15,1.82,14.25,11.47,11.13,12.39,7.37
