Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,64.96,54.38,54.23,48.77,66.84,47.43,36.78,0.00,2500.17,0.00,0.00,0.00
Plow Back,100.00,35.04,45.62,45.77,51.23,33.16,52.57,63.22,100.00,-2400.17,100.00,100.00,100.00
Return on Equity,0.09,17.53,24.68,27.62,28.30,34.11,29.92,26.25,21.81,1.63,-17.26,11.86,2.46
Return on Assets,0.05,10.86,13.85,16.13,15.27,13.93,20.67,15.78,10.60,0.61,-4.30,3.45,0.66
Book Value per Share,91.66,96.61,89.41,80.12,72.46,43.86,49.32,41.35,24.27,18.98,21.51,25.22,24.21
Earning Per Share,0.08,16.93,22.07,22.29,20.16,14.96,14.76,10.86,5.29,0.57,-3.71,3.17,0.59
Net Working Capital to Total Asseets,-0.02,-0.10,-0.08,0.02,0.03,-0.01,0.02,0.03,-0.10,-0.15,-0.15,-0.09,-0.06
Current Ratio,0.92,0.61,0.73,1.15,1.21,0.92,1.11,1.18,0.64,0.53,0.52,0.65,0.70
Acid Test,0.42,0.28,0.28,0.43,0.44,0.42,0.30,0.33,0.17,0.16,0.19,0.27,0.24
Times Interest Earned,0.76,9.84,25.92,23.35,10.37,31.00,25.05,9.60,3.05,1.17,0.36,1.53,0.66
Total Debt Ratio,0.42,0.38,0.44,0.42,0.46,0.59,0.31,0.40,0.51,0.63,0.75,0.71,0.73
Debt To Equity,0.73,0.61,0.78,0.71,0.85,1.45,0.45,0.66,1.06,1.68,3.01,2.44,2.71
Return on Capital Employed,0.02,0.22,0.23,0.28,0.28,0.23,0.34,0.29,0.28,0.15,0.04,0.17,0.04
Average Collection Period,16.98,14.31,12.32,10.34,9.39,8.93,7.21,4.38,8.61,7.58,8.14,14.41,17.80
Days sales Inventory,94.28,79.70,129.09,122.06,111.37,101.87,124.17,148.40,114.58,125.00,93.20,103.06,138.01
Total Assets Turnover,0.39,0.58,0.56,0.63,0.59,0.49,0.70,0.60,0.62,0.45,0.47,0.52,0.29
Gross Profit Margin,3.01,29.93,35.84,43.65,46.25,41.15,39.31,41.41,32.02,21.86,13.27,32.20,13.47
Net Profit Margin,0.13,18.84,24.88,25.56,25.98,28.41,29.54,26.12,17.20,1.34,-9.07,6.58,2.25
