Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,24.69,42.95,43.56,78.08,56.66,22.21,0.00,0.00,0.00,16.62,0.00,53.68
Plow Back,100.00,75.31,57.05,56.44,21.92,43.34,77.79,100.00,100.00,100.00,83.38,100.00,46.32
Return on Equity,-3.43,23.54,16.44,7.50,13.09,8.44,18.54,13.10,-5.37,25.39,13.28,2.57,3.72
Return on Assets,-0.70,6.63,4.80,2.23,3.55,2.43,5.09,3.36,-1.36,5.86,3.27,0.59,0.83
Book Value per Share,32.64,43.01,35.40,30.61,29.35,31.37,36.43,35.63,35.23,74.24,56.65,49.12,50.04
Earning Per Share,-1.12,10.12,5.82,2.50,4.27,2.65,6.75,4.09,-1.89,18.85,7.52,1.45,1.86
Net Working Capital to Total Asseets,0.01,0.09,0.07,0.06,0.04,0.03,0.04,0.03,-0.01,0.02,-0.02,-0.03,-0.06
Current Ratio,1.02,1.16,1.14,1.11,1.08,1.05,1.06,1.05,0.99,1.03,0.97,0.95,0.90
Acid Test,0.30,0.40,0.41,0.38,0.28,0.25,0.21,0.27,0.24,0.20,0.34,0.39,0.42
Times Interest Earned,0.96,3.72,3.36,1.92,2.47,1.59,2.29,1.67,1.00,2.40,1.75,1.16,1.28
Total Debt Ratio,0.80,0.72,0.71,0.70,0.73,0.71,0.73,0.74,0.75,0.77,0.75,0.77,0.78
Debt To Equity,3.92,2.55,2.43,2.36,2.69,2.48,2.65,2.90,2.96,3.33,3.06,3.36,3.46
Return on Capital Employed,0.06,0.23,0.17,0.09,0.16,0.21,0.29,0.27,0.20,0.37,0.27,0.21,0.18
Average Collection Period,38.58,45.05,43.19,30.60,26.74,20.94,15.11,31.06,30.20,29.14,43.74,66.47,77.52
Days sales Inventory,226.76,184.00,173.19,149.50,215.74,160.44,172.40,147.17,138.32,193.66,119.77,136.72,124.77
Total Assets Turnover,0.78,1.05,1.05,1.09,1.00,1.34,1.36,1.43,1.41,1.25,1.35,1.02,0.95
Gross Profit Margin,16.81,20.92,20.99,17.66,22.64,18.27,18.10,15.71,14.14,18.19,16.11,16.82,15.14
Net Profit Margin,-0.89,6.30,4.55,2.05,3.54,1.81,3.74,2.35,-0.96,4.70,2.42,0.58,0.88
