Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Payout,-107.49,0.00,110.54,56.92,88.55,40.89,49.19,83.06,19.39,26.40,0.00,0.00,1.38,3.10,7.04
Plow Back,207.49,100.00,-10.54,43.08,11.46,59.11,50.81,16.94,80.61,73.60,100.00,100.00,98.62,96.90,92.96
Return on Equity,-3.15,-4.85,2.75,7.85,4.41,15.07,8.96,5.53,17.55,13.46,19.20,-17.16,41.84,46.99,56.84
Return on Assets,-3.00,-3.61,2.09,6.34,3.48,11.21,6.88,4.56,14.15,11.06,16.24,-12.63,34.24,32.96,52.92
Book Value per Share,44.33,43.81,65.90,67.15,64.05,64.89,56.75,54.40,58.78,56.30,52.76,43.03,63.50,274.89,375.06
Earning Per Share,-1.38,-2.12,1.81,5.27,2.82,9.78,5.08,3.01,10.31,7.57,10.13,-7.38,21.26,129.17,85.27
Net Working Capital to Total Asseets,0.14,0.12,0.12,0.08,0.04,-0.00,0.01,0.01,0.04,0.01,0.13,0.11,0.17,0.53,0.89
Current Ratio,4.55,1.48,1.72,1.73,1.27,1.00,1.08,1.17,1.47,1.21,5.26,1.87,3.08,2.78,13.90
Acid Test,4.55,1.48,1.72,1.73,1.27,1.00,1.08,0.00,0.00,1.21,5.26,1.87,3.08,2.78,13.90
Times Interest Earned,-1.26,-4.24,9.14,17.05,6.65,18.57,11.92,6.19,14.28,18.77,17.27,-3.68,134.23,25.07,55.31
Total Debt Ratio,0.05,0.26,0.24,0.19,0.21,0.26,0.23,0.18,0.19,0.18,0.15,0.26,0.18,0.30,0.07
Debt To Equity,0.05,0.34,0.31,0.24,0.26,0.34,0.30,0.21,0.24,0.22,0.18,0.36,0.22,0.43,0.07
Return on Capital Employed,-0.01,-0.04,0.03,0.08,0.06,0.13,0.08,0.07,0.15,0.14,0.17,-0.09,0.45,0.50,0.60
Average Collection Period,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days sales Inventory,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Assets Turnover,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gross Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit Margin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
