Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,0.00,0.00,0.00,0.00,76.79,44.40,22.89,0.00,84.65
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,23.21,55.60,77.11,100.00,15.35
Return on Equity,-435.90,8.31,-43.23,-28.64,-15.73,0.95,9.06,16.86,31.26,2.66,9.61
Return on Assets,-3.85,0.42,-2.19,-1.94,-1.61,0.13,1.49,3.37,3.97,0.26,1.38
Book Value per Share,3.87,18.26,16.06,21.37,27.09,29.67,32.35,33.41,20.97,14.43,15.37
Earning Per Share,-16.86,1.52,-6.94,-6.12,-4.26,0.28,2.93,5.63,6.55,0.38,1.48
Net Working Capital to Total Asseets,-0.11,-0.09,-0.14,0.72,-0.02,0.01,0.01,0.01,0.01,0.02,0.04
Current Ratio,0.86,0.88,0.82,929.98,0.97,1.01,1.02,1.03,1.02,1.03,1.08
Acid Test,0.85,0.86,0.81,917.59,0.95,0.99,0.99,0.99,0.98,0.99,1.03
Times Interest Earned,-1.14,2.96,-1.99,0.10,0.22,1.05,1.54,1.95,2.40,1.09,2.00
Total Debt Ratio,0.99,0.95,0.95,0.93,0.90,0.87,0.84,0.80,0.87,0.90,0.86
Debt To Equity,112.34,18.65,18.73,13.73,8.78,6.54,5.09,4.00,6.87,9.38,5.95
Return on Capital Employed,-0.07,0.05,-0.08,0.00,0.02,0.11,0.17,0.18,0.27,0.12,0.12
Average Collection Period,157.93,191.35,227.20,202.84,187.89,183.62,200.03,156.74,148.44,109.92,98.04
Days sales Inventory,6.12,8.37,6.58,5.74,6.89,6.88,8.14,9.64,8.67,7.82,8.79
Total Assets Turnover,0.46,0.50,0.50,0.59,0.66,0.77,0.75,0.82,0.97,1.08,1.04
Gross Profit Margin,-5.51,-0.54,-17.91,-4.91,-5.85,2.30,2.04,1.96,2.60,5.33,7.22
Net Profit Margin,-8.37,0.85,-4.41,-3.32,-2.45,0.16,1.97,4.13,4.08,0.24,1.33
