Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,28.19,22.71,16.48,43.14,406.17,21.06,12.90,14.47,0.00,0.00,0.00
Plow Back,100.00,71.81,77.29,83.52,56.86,-306.17,78.94,87.10,85.53,100.00,100.00,100.00
Return on Equity,-21.95,2.05,10.49,19.54,25.17,2.11,25.02,30.55,25.20,6.36,-21.61,26.82
Return on Assets,-15.93,1.76,8.45,15.78,19.96,1.45,15.29,17.36,10.48,2.11,-6.67,12.07
Book Value per Share,69.94,86.36,83.93,77.63,64.46,58.24,47.43,38.06,27.43,20.52,19.22,25.71
Earning Per Share,-15.35,1.77,8.81,15.17,16.22,12.31,11.87,11.63,6.91,1.30,-4.15,6.27
Net Working Capital to Total Asseets,0.31,0.48,0.52,0.50,0.43,0.34,0.23,0.02,-0.16,-0.19,-0.13,0.04
Current Ratio,2.30,8.07,5.10,5.42,5.00,2.80,1.89,1.07,0.69,0.60,0.70,1.11
Acid Test,0.51,2.20,1.54,1.36,0.85,0.48,0.31,0.09,0.07,0.05,0.12,0.13
Times Interest Earned,-35.20,25.24,184.60,751.68,93.84,12.09,8.39,5.93,2.44,1.61,-2.50,3.08
Total Debt Ratio,0.27,0.15,0.19,0.19,0.21,0.31,0.39,0.43,0.58,0.67,0.69,0.55
Debt To Equity,0.38,0.17,0.24,0.24,0.26,0.46,0.64,0.76,1.40,2.02,2.24,1.22
Return on Capital Employed,-0.27,0.03,0.13,0.26,0.32,0.29,0.30,0.39,0.30,0.15,-0.12,0.35
Average Collection Period,2.62,5.24,5.62,1.14,0.91,1.03,1.28,1.20,2.16,2.07,1.37,6.93
Days sales Inventory,182.34,178.18,222.72,227.28,195.27,207.81,168.73,129.49,110.71,112.14,103.56,131.88
Total Assets Turnover,0.72,0.94,0.94,1.06,1.23,1.12,1.21,1.37,1.31,1.06,0.93,1.33
Gross Profit Margin,-20.65,12.54,20.95,30.34,32.27,30.66,27.04,27.34,22.24,18.34,5.26,26.43
Net Profit Margin,-22.23,1.88,9.01,14.83,16.17,1.29,12.60,12.71,7.98,1.98,-7.17,9.10
