Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,108.04,0.00,48.19,58.78,39.40,42.71,38.79,52.19,397.18,27.65,34.69,30.56
Plow Back,100.00,-8.04,100.00,51.81,41.22,60.60,57.29,61.21,47.81,-297.18,72.35,65.31,69.44
Return on Equity,14.61,6.31,-2.47,19.13,24.44,21.62,16.38,16.84,13.96,27.89,36.37,27.03,29.84
Return on Assets,3.40,1.15,-0.35,3.82,5.96,4.34,2.91,3.89,3.04,6.98,10.20,4.82,5.10
Book Value per Share,160.14,146.76,137.64,141.01,139.20,117.38,100.06,91.82,82.36,8.13,69.63,41.94,38.38
Earning Per Share,23.40,9.26,-3.40,26.98,34.03,25.38,16.39,15.47,11.52,24.42,28.20,11.34,9.86
Net Working Capital to Total Asseets,-0.02,-0.20,-0.11,-0.10,-0.08,-0.19,-0.14,-0.11,-0.15,-0.09,-0.09,-0.17,-0.14
Current Ratio,0.95,0.71,0.84,0.82,0.81,0.63,0.70,0.78,0.73,0.78,0.76,0.66,0.69
Acid Test,0.64,0.32,0.30,0.39,0.37,0.30,-0.26,0.44,0.38,0.49,0.62,0.32,0.38
Times Interest Earned,1.68,1.07,0.94,2.37,2.40,1.54,1.52,2.17,1.41,2.64,2.67,1.87,2.01
Total Debt Ratio,0.77,0.82,0.86,0.80,0.76,0.80,0.82,0.77,0.78,0.75,0.72,0.82,0.83
Debt To Equity,3.29,4.50,6.03,4.01,3.10,3.98,4.63,3.33,3.59,3.00,2.57,4.60,4.85
Return on Capital Employed,0.26,0.26,0.11,0.19,0.20,0.21,0.16,0.20,0.19,0.32,0.40,0.31,0.28
Average Collection Period,59.02,53.91,53.59,25.91,10.04,12.39,7.92,3.22,5.92,12.69,0.00,1.76,5.45
Days sales Inventory,44.95,108.35,224.88,83.92,72.41,79.13,209.00,59.55,77.39,43.82,13.03,110.71,58.82
Total Assets Turnover,1.27,1.02,0.64,1.08,1.09,0.93,0.91,1.14,1.01,1.29,1.68,0.73,1.02
Gross Profit Margin,14.16,10.62,8.36,10.74,17.31,14.90,10.57,11.78,10.38,17.05,17.89,25.13,18.76
Net Profit Margin,2.68,1.13,-0.55,3.54,5.46,4.64,3.21,3.40,3.02,5.43,6.08,6.63,5.01
