Year,2020,2019,2018,2017
Payout,0.00,20.09,0.00,0.00
Plow Back,100.00,79.91,100.00,100.00
Return on Equity,2.28,11.23,9.60,8.89
Return on Assets,1.69,9.21,7.12,7.54
Book Value per Share,14.91,16.39,16.83,11.39
Earning Per Share,0.34,1.86,1.62,1.01
Net Working Capital to Total Asseets,-0.02,0.11,0.18,0.13
Current Ratio,0.91,1.81,2.05,2.00
Acid Test,0.59,1.44,1.84,1.53
Times Interest Earned,3.21,12.09,18.43,17.20
Total Debt Ratio,0.26,0.18,0.26,0.15
Debt To Equity,0.35,0.22,0.35,0.18
Return on Capital Employed,0.07,0.11,0.08,0.07
Average Collection Period,9.90,9.97,14.25,12.60
Days sales Inventory,32.26,27.11,23.57,27.96
Total Assets Turnover,0.96,0.92,0.76,1.06
Gross Profit Margin,25.75,29.29,28.83,24.99
Net Profit Margin,1.77,10.00,9.31,7.13
